Name,Label,Type,Comment,URI,Category
EnergyEfficiency,EnergyEfficiency,PerformanceIndicator,,http://www.annasvijaya.com/ESGOnt/esgontology#EnergyEfficiency,Environmental - Climate & Energy
WasteReductionIndicator,WasteReductionIndicator,PerformanceIndicator,,http://www.annasvijaya.com/ESGOnt/esgontology#WasteReductionIndicator,Environmental - Resources
Energy,Energy,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Energy,Environmental - Climate & Energy
Hazardous_Waste,Hazardous_Waste,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Hazardous_Waste,Environmental - Resources
Waste,Waste,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Waste,Environmental - Resources
WasteCategory,WasteCategory,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WasteCategory,Environmental - Resources
WasteOutput,WasteOutput,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WasteOutput,Environmental - Resources
WasteProcessing,WasteProcessing,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WasteProcessing,Environmental - Resources
WasteRecycling,WasteRecycling,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WasteRecycling,Environmental - Resources
WasteReduction,WasteReduction,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WasteReduction,Environmental - Resources
Water,Water,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Water,Environmental - Resources
WaterEfficiency,WaterEfficiency,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WaterEfficiency,Environmental - Resources
WaterRecycling,WaterRecycling,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WaterRecycling,Environmental - Resources
WaterUsage,WaterUsage,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#WaterUsage,Environmental - Resources
GHG_Emissions,GHG_Emissions,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#GHG_Emissions,Environmental - Climate & Energy
Biodiversity,Biodiversity,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Biodiversity,Environmental - Resources
Health_and_Safety,Health_and_Safety,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Health_and_Safety,Social - Workforce
Employee_Development,Employee_Development,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Employee_Development,Social - Workforce
Employee_Turnover,Employee_Turnover,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Employee_Turnover,Social - Workforce
Board_Diversity,Board_Diversity,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Board_Diversity,Governance - Leadership
Human_Rights,Human_Rights,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Human_Rights,Social - Workforce
Corruption,Corruption,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Corruption,Governance - Leadership
Environmental_Fines,Environmental_Fines,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Environmental_Fines,Other
Green_Buildings,Green_Buildings,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Green_Buildings,Other
Green_Products,Green_Products,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Green_Products,Social - Community
Hazardous_Waste,Hazardous_Waste,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Hazardous_Waste,Environmental - Resources
Non-GHG_Air_Emissions,Non-GHG_Air_Emissions,ESGCategory,,http://www.annasvijaya.com/ESGOnt/esgontology#Non-GHG_Air_Emissions,Environmental - Climate & Energy
