text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"2023 N A C H H A LT I G K E I T S B E R I C H T Inhalt Navigationshilfe Kapitelverweise innerhalb des Nachhaltigkeitsberichts Verweise auf Websites 6 Vorwort 9 Über den Bericht 12  Nachhaltigkeit in der Unternehmens-DNA 13 Corporate Governance 17 Konzernstrategie NEW AUTO 22 ESG-Performance-Management und Wesentlichkeitsanalyse 25 Nachhaltigkeitsmanagement 27 Nachhaltigkeitswirkungen neuer Mobilitätsangebote 30 Stakeholder-Management 33 Umwelt-Compliance-Management 42 Risikomanagement 45 Corporate Citizenship Fokusthemen 1 Dekarbonisierung 48 Dekarbonisierung 69 EU-Taxonomie 2 Kreislaufwirtschaft 83 Kreislaufwirtschaft 3 Menschen in der Transformation 90 Menschen in der Transformation 4 Vielfalt 104 Vielfalt 5 Integrität und Compliance 109 Integrität und Compliance 6 Lieferkette und Menschenrechte 117 Lieferkette und Menschenrechte 131 Anhang 132 Vermerk des unabhängigen Wirtschaftsprüfers 135 Impressum 2 Nachhaltigkeits kommunikation des Volkswagen Konzerns 2023 G E S C H Ä F T S B E R I C H T 2023 N A C H H A LT I G K E I T S B E R I C H T Begleitende Informationen zur Berichterstattung ESG-Kennzahlen Indikatoren entlang unserer Fokusthemen sind in Excel übersichtlich dargestellt GRI-Index GRI-Inhaltsindex (unter Bezugnahme) SASB-Index Index Automobile Berichte zu Sonderthemen Responsible Raw Materials Report Fortschritte bei Transparenz und Risiko minderung in den Rohstofflieferketten (jährlich) Association Climate Review Report Übersicht zu klimapolitischen Positionen Green Finance Report Umsetzung nachhaltiger Finanzierungs strategien (jährlich) Weitere ESG-Themen Informationen zu weiteren Themen, die im Be reich Nachhaltigkeit und ESG von Bedeutung sind Informationen auf der Konzern-Website Policies Selbstverpflichtungen und Grundsätze, die konzernweit gelten ESG-Kontroversen Informationen zu aktuellen und laufenden Kontroversen in sachlicher Form Internationale Initiativen UN Sustainable Development Goals Aktivitäten und Projekte, die zur Erreichung der Nachhaltigkeitsziele beitragen (jährlich) UN Global Compact Umsetzung der zehn UN-Global-Compact- Prinzipien (jährlich) CDP Score Report  Climate Change Bewertung der klimabezogenen Risiken, Ziele und Maßnahmen CDP Score Report  Water Security Bewertung im Bereich Wasserressourcen Nachhaltigkeit und ESG sind Teil der Konzernstrategie ESG-Performance ESG-Performance Ziel ist es, die Leistung in ESG-Ratings und -Rankings des Kapitalmarkts zu ver bessern, um die Investitionsfähigkeit zu steigern und Kapitalkosten zu optimieren.",2525,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Darüber hinaus erfolgt im Kapitel Nachhaltigkeit in der Unternehmens-DNA eine Definition von Nachhaltigkeit für das Unternehmen und ein Einblick in Themen wie Risikomanagement, Umweltmanagement, Stakeholder-Management und Corporate Citizenship.",244,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,corporate,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Nachhaltigkeit in der Unter nehmens-DNA Dekarbonisierung Kreislauf wirtschaft Menschen in der Transformation Vielfalt Integrität und Compliance Lieferkette und Menschenrechte Progressive Core Sport Luxury Trucks Architecture Software Battery, Charging  Energy Volkswagen Group Mobility 06  ESG, Decarbonization and Integrity Highlights 20231 Dekarbonisierung Zugang zu 600.000 Ladepunkten in Europa Bis 2030 soll der CO₂-Fußabdruck des gesamten Handelsnetzes um mindestens 30  gesenkt werden.",492,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Kreislaufwirtschaft Mehr als 850.000 t CO₂ wurden seit 2017 durch den Aluminium- Closed-Loop bilanziell eingespart. 2023 haben wir 77.090 Werkzeuge bearbeitet, sodass sie für ihren erneuten Einsatz geeignet sind. Menschen in der Transformation 14,3 Mio. Weiterbildungsstunden im Volkswagen Konzern 72 Standorte des Volkswagen Konzerns sind nach ISO 45001 zertifiziert. Vielfalt 94  der Führungskräfte haben am Diversity Wins  Volkswagen Programm teilgenommen.",459,ONT_041,Diversity,Environmental,Diversity,ONTOLOGY,0.3333333333333333,1,diversity,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Als strategisches Feld setzen wir uns in der Nachhaltigkeit klare Ziele und Pläne  verbindlich und mit eindeutigen Verantwort lichkeiten. Der Fokus liegt dabei auf dem Umsetzen unserer strategischen Maßnahmen. Und auch hier nutzen wir die Synergien im Volkswagen Konzern: Alle Ziele werden systematisch auf die Marken und Konzern gesellschaften heruntergebrochen. Es ist in der persönlichen Verantwortung des Managements, diese einzuhalten.",440,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Daniela Cavallo und Oliver Blume Inhalt Unternehmens-DNA  Dekarbonisierung  Kreislaufwirtschaft  Menschen in der Transformation  Vielfalt  Integrität und Compliance  Lieferkette und Menschenrechte GRI 2-22 9 Struktur der Berichterstattung Der vorliegende Konzern-Nachhaltigkeitsbericht 2023 ori entiert sich an international etablierten Rahmenwerken und Anforderungen wie zum Beispiel den Standards der Global Reporting Initiative (GRI, siehe auch folgender Abschnitt), dem CSR-Richtlinie-Umsetzungsgesetz (CSR-RUG), ESG- Nachhaltigkeitsratings (Environmental, Social, Governance) und Erwartungen von Stakeholdern.",614,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, environmental",1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Der Bericht wird durch eine ausführliche Darstellung der Nachhaltigkeitsaktivitäten der Marken und Regionen sowie der Corporate-Citizenship- Projekte des Volkswagen Konzerns ergänzt. Weitergehende und insbesondere für ESG-Investoren rele vante Informationen, zum Beispiel ESG-Kennzahlen, finden sich auf der Corporate Website des Konzerns und sind nicht Teil des vorliegenden Berichts.",385,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,corporate,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Ge mäß CSR-RUG konzentriert sich der vorliegende nichtfinan zielle Bericht auf Fokusthemen, die für das Verständnis des Geschäftsverlaufs, des Geschäftsergebnisses, der Lage des Volkswagen Konzerns sowie der Auswirkungen des Volkswa gen Konzerns auf die nichtfinanziellen Aspekte erforderlich sind. Unsere Aktivitäten zum Klimaschutz berichten wir er neut entlang der Vorgaben der Task Force on Climate-related Financial Disclosures (TCFD).",440,ONT_045,Financial_Inclusion,Environmental,Financial_Inclusion,ONTOLOGY,0.2,1,financial,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
Ebenso sind folgende Passagen nicht Bestandteil des nichtfinanziellen Berichts:  Nachhaltigkeitskommunikation des Volkswagen Konzerns (S. 34)  Vorwort (S. 68)  Der Deutsche Corporate Governance Kodex  Leitlinie für erfolgreiche Unternehmensführung (S. 15)  Weiterführende Informationen und Wertschöpfungskette (S. 16)  Soziale und ökologische Auswirkungen unseres Handelns messbar machen (S. 24) Die Angaben in diesem Bericht beziehen sich auf den ge samten Volkswagen Konzern.,477,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Unsere Joint Ventures in China werden in die Finanzdaten nach der At-Equity-Methode einbezogen und sind in den Mengen daten (Absatz, Produktion und Belegschaft) sowie in den produktionsbezogenen Umweltdaten zu 100  enthalten. Die in diesem Bericht beschriebenen Managementansätze (wie beispielsweise das Umwelt-Compliance-Managementsystem) gelten für alle kontrollierten Gesellschaften des Volkswagen Konzerns.",410,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"In den Kennzahlen und in den dazugehörigen Zielen bei den Themen Umweltentlastung Produktion (UEP), Dekarbo nisierungsindex (DKI), Stimmungsbarometer, Diversity-Index, GRI 2-2, 2-4, 2-5 Inhalt Unternehmens-DNA  Dekarbonisierung  Kreislaufwirtschaft  Menschen in der Transformation  Vielfalt  Integrität und Compliance  Lieferkette und Menschenrechte 11 lässt sich nicht ausschließen, dass aufgrund von zukünftigen Erkenntnissen oder Ereignissen die gebildeten Rückstellungen möglicherweise angepasst werden müssen.",514,ONT_041,Diversity,Environmental,Diversity,ONTOLOGY,0.3333333333333333,1,diversity,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Die übrigen Rückstellungen betreffen eine Vielzahl erkenn barer Einzelrisiken, Preisrisiken und ungewisser Verpflich tungen, die in Höhe ihres wahrscheinlichen Eintritts berück sichtigt werden. Abhängig von der jeweiligen Jurisdiktion sind darin auch Risikovorsorgen für die etwaige Nichteinhaltung von gesetzlichen Emissionsobergrenzen enthalten.",347,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
Deren Bewertung erfolgte unter anderem unter Berücksichtigung des jeweiligen Absatzvolumens und der gesetzlich definierten Abgabe beziehungsweise der Kosten für den Erwerb von Emissionsrechten anderer Hersteller. Die Synergien der ein zelnen Marken des Volkswagen Konzerns wurden dabei nach Möglichkeit in Form von Emissionsgemeinschaften genutzt.,347,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
GRI 2-3 Inhalt Unternehmens-DNA  Dekarbonisierung  Kreislaufwirtschaft  Menschen in der Transformation  Vielfalt  Integrität und Compliance  Lieferkette und Menschenrechte 12 Nachhaltigkeit in der Unternehmens-DNA 13 Corporate Governance 17 Konzernstrategie NEW AUTO 22 ESG-Performance-Management und Wesentlichkeitsanalyse 25 Nachhaltigkeitsmanagement 27 Nachhaltigkeitswirkungen neuer Mobilitätsangebote 30 Stakeholder-Management 33 Umwelt-Compliance-Management 42 Risikomanagement 45 Corporate Citizenship 13 Rechtliche Unternehmensstruktur in Grundzügen Die Volkswagen AG ist die Muttergesellschaft des Volkswagen Konzerns.,627,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"h.c. F. Porsche AG, der TRATON SE, der Volkswagen Financial Services AG, der Volkswagen Bank GmbH sowie an zahlreichen weiteren Gesellschaften im In- und Ausland. Ausführliche An gaben können Sie der Aufstellung des Anteilsbesitzes gemäß  285 und 313 HGB entnehmen, die auf der Internetseite abrufbar und die Bestandteil des Jahresabschlusses ist. www.volkswagen-group.com  Jahresabschluss Im Sinne von  3 Nr.",409,ONT_045,Financial_Inclusion,Environmental,Financial_Inclusion,ONTOLOGY,0.2,1,financial,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Der Aufsichtsrat bestellt, überwacht und berät den Vorstand; er ist unmittelbar in Entscheidungen eingebunden, die von grundlegender Bedeutung für das Un ternehmen sind. Corporate Governance Aktionärsstruktur in der Volkswagen AG zum 31. Dezember 2023, in  des gezeichneten Kapitals Mitarbeiter nach Märkten zum 31.",315,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Dadurch wird zum einen die Komplexität reduziert und zum anderen die Governance im Konzern gestärkt. Im Rahmen der Basisinitiative Group Steering Model aus der Konzernstrategie NEW AUTO wurde auf dem Capital Markets Day im Juni 2023 ein neues Führungsmodell für den Konzern vorgestellt, das verstärkt auf Kundenorientierung, Unternehmertum und Teamgeist setzt. Es verfolgt den Grund satz Value over Volume und priorisiert dabei die nachhaltige Wertschöpfung über dem Volumenwachstum.",483,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,governance,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Neben der Stärkung der Markengruppen wurden im Berichts jahr auch aufseiten der Technologieplattformen Architecture, Software, Battery, Charging  Energy sowie Volkswagen Group Mobility wesentliche Fortschritte durch die Neu ausrichtung und den Ausbau neuer Einheiten verzeichnet. Die Softwaretochter CARIAD wird hinsichtlich ihrer Strukturen und Produktprozesse weiter optimiert.",379,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Wir sind überzeugt, dass durch unsere Unternehmensstruktur, die sowohl die Markengruppen als auch die Technologieplatt formen sinnvoll miteinander verbindet, vorhandene Kompe tenzen und Skaleneffekte besser genutzt, Synergien systema tischer gehoben und Entscheidungen noch schneller getroffen werden können.",308,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
"Der Deutsche Corporate Governance Kodex  Leitlinie für erfolgreiche Unternehmensführung Corporate Governance bildet den Ordnungsrahmen für die Führung und Kontrolle eines Unternehmens. Dazu gehören unter anderem seine Organisation und Werte sowie seine geschäftspolitischen Grundsätze und Leitlinien. Der Deutsche Corporate Governance Kodex (DCGK) enthält Grundsätze, Empfehlungen und Anregungen zur Leitung und Überwachung von Unternehmen.",440,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,2023_Volkswagen_Group_Nachhaltigkeitsbericht.pdf
