text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"FOR INTERNAL USE CONNECTING PEOPLE. 2023 SUSTAINABILITY FOR INTERNAL USE ENVIRONMENT SOCIAL RESPONSIBILITY APPROACH CORPORATE GOVERNANCE OUTLOOK ANCHORING SUSTAINABILITY IN OUR DAILY OPERATIONS THROUGH THE ESG ROADMAP The Group DHL GROUP  THE WORLDS LEADING LOGISTICS PROVIDER With two strong brands, DHL Group connects people and markets, enabling global trade.",362,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,DHL-Group-2023-ESG-Presentation.pdf
"offers a comprehensive range of parcel, express, freight transport and supply chain management services as well as e-commerce logistics solutions. 2 Time Definite International (TDI). 3 Time Definite Domestic (TDD). 4 TEU  Twenty-foot equivalent unit. 5 Owned and leased warehouses. 6 In selected countries.",307,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-2023-ESG-Presentation.pdf
"5 82bn Revenue 6.3bn EBIT 3.3bn Free cash flow1 220 Countries and territories Divisions DIVISIONS Express Transport of urgent documents and goods reliably and on time from door to door International2 1.1m shipments per working day Domestic3 486,000 shipments per working day Global Forwarding, Freight Air, ocean and overland freight forwarding services Air freight 1.7m metric tons export freight Ocean freight 3.1m TEU4 Supply Chain Customized logistics services and supply chain solutions Warehousing and operational space5 17m m3 eCommerce Domestic parcel shipment in Europe, the US, Asia6 Parcels 1.5bn annually Post  Parcel Germany Transport, sorting and delivery of documents and goods shipments Letters Parcels 46m per working 6.3m per working day day Mailboxes Packstations 108,200 13,000 is the largest mail service provider in Europe and the market leader in the German mail services sector.",902,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-2023-ESG-Presentation.pdf
"3 295 aircraft 123,400 vehicles of which 36,200 e-vehicles 25,000 bicycles of which 14,000 e-trikes, 5,500 e-bikes 33.27m metric tons CO2e footprint 594,000 employees globally of which 4,900 apprentices and trainees 27bn in staff costs 12,260 locations 60 certified in accordance with ISO 14001  500011 3 international hubs in Leipzig (DE), Cincinnati (US) and Hong Kong 1 Headquarters in Bonn, Germany The Group SUSTAINABILITY IN FIGURES 1 Also includes locations that are only certified according to one ISO.",510,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,employee,1,DHL-Group-2023-ESG-Presentation.pdf
"4 FOR INTERNAL USE ENVIRONMENT SOCIAL RESPONSIBILITY APPROACH CORPORATE GOVERNANCE OUTLOOK ANCHORING SUSTAINABILITY IN OUR DAILY OPERATIONS THROUGH THE ESG ROADMAP Approach DELIVERING EXCELLENCE IN A DIGITAL WORLD A world powered by logistics  DHL Group, powered by people DHL Group connects people and markets and is an enabler of global trade. In recent years, the logistics sector has been shaped by four major trends: globalization, digitalization, e-commerce and sustainability.",483,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,DHL-Group-2023-ESG-Presentation.pdf
Approach Employees Bottom lines and stakeholders Customers Investors 83 Employee Engagement 1.85 Dividend per share1 83 Customer satisfaction 1 Proposal.,153,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,employee,1,DHL-Group-2023-ESG-Presentation.pdf
"7 ESG reporting launched UN Global Compact signed Code of Conduct introduced Supplier Code of Conduct introduced GO programs launched 2003 2006 2008 Long-term, sustainability-focused value creation ESG Roadmap: New climate protection goals set, ESG KPIs fully integrated into our finance systems, ESG KPIs incorporated into our remuneration policies 2019 2021 STRONG STRATEGIES, SUSTAINABLE MEASURES Certified training program to communicate strategy, corporate culture and values UN Sustainable Development Goals (SDGs) taken into account for the first time Climate protection target set: Net zero greenhouse gas emissions by 2050 2015 2016 2017 Approach 8 Approach THE BOARD OF MANAGEMENT The Management Board defines the sustainability strategy and targets.",760,ONT_050,Sustainable_Finance,Environmental,Sustainable_Finance,ONTOLOGY,0.4,2,"sustainable, finance",1,DHL-Group-2023-ESG-Presentation.pdf
"Melanie Kreis Finance Member since Oct. 2014 Appointed until May 2027 Nikola Hagleitner Post  Parcel Germany Member since July 2022 Appointed until June 2025 John Pearson Express Member since Jan. 2019 Appointed until Dec. 2026 Tim Scharwath Global Forwarding, Freight Member since June 2017 Appointed until May 2025 Pablo Ciano eCommerce Member since Aug. 2022 Appointed until July 2025 Oscar de Bok Supply Chain Member since Oct. 2019 Appointed until Sept. 2027 Dr. Tobias Meyer Chief Executive Officer, Global Business Services Member since April 2019  CEO since May 2023 Appointed until March 2027 Dr. Thomas Ogilvie HR Member since Sept. 2017 Appointed until Aug. 2025 CORPORATE CENTER FIVE DIVISIONS 9 1 Chief Executive Officer, Board of Management members responsible for HR, Finance and Express.",803,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-2023-ESG-Presentation.pdf
"2 German Supply Chain Due Diligence Act (Lieferkettensorgfaltspflichtengesetz  LkSG). 3 Diversity, Equity, Inclusion and Belonging. 4 Health  Wellbeing.",152,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-2023-ESG-Presentation.pdf
"Approach DELIVERING SUSTAINABILITY BOARD OF MANAGEMENT Central decision-making and sustainability focus Operations Board Climate and environmental protection Occupational safety Finance Board KPIs Planning Opportunityrisk assessment Materiality analysis Reporting HR Board Employee matters Respect for human rights IT Board Cybersecurity Data protection IT systems Sustainability Steering Board Ongoing monitoring of the sustainability agenda Chair: CEO, CFO, CHRO1 Sustainability Advisory Council Members from the sciences, business and politics Strategy and management Responsibility for topics Reporting and controlling Global Commercial Board Sustainable product portfolio (GoGreen) Global Business Services Board Compliance Procurement Real estate Divisions: Operational management of sustainability topics Supervisory Board Control and consultation Strategy and Sustainability Committee Finance and Audit Committee Relevant boards for sustainability issues OHS Committee Information Security Committee Commercialization Taskforce Clean Operations Working Group LkSG2 Council Risk Committee ESG Change Board Steering Committee Thematic bodies DEIB3 Board HW4 Forum Chair: CFO1 Chair: CEO1 Chair: CEO1 Chair: CHRO1 Chair: Express1 Chair: CEO1 10 FOR INTERNAL USE SUSTAINABILITY IS EMBEDDED ACROSS THE GROUP Approach Anchored through the Codes of Conduct Requirements are further specified in our corporate policies Human Rights Policy Statement Corporate Diversity  Inclusion Statement Occupational Health  Safety Policy Statement Health  Wellbeing Policy Statement Environmental and Energy Policy Sustainable Fuel Policy1 Anti-Corruption and Business Ethics Policy1 Cybersecurity Policy Data Privacy Policy The Ten Principles of the UN Global Compact 1 Not available to the general public.",1794,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.6666666666666666,2,"environmental, energy",1,DHL-Group-2023-ESG-Presentation.pdf
11 Supplier Code of Conduct Quality Education Gender Equality Decent Work and Economic Growth Sustainable Cities and Communities Climate Action Partnerships for the Goals 4 5 8 11 13 17 Approach SUPPORTING THE UNITED NATIONS GOALS DHL Groups commitment is most closely aligned with six of the 17 UN Sustainable Development Goals (SDGs). It is here that the Group can make the most positive impact on the challenges presented by sustainable development.,452,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,development,1,DHL-Group-2023-ESG-Presentation.pdf
"12 FOR INTERNAL USE 2021 MATERIALITY ANALYSIS The Board of Management and the Supervisory Board conduct regular analyses on key sustainability-related issues. External perspectives are contributed by the Sustainability Advisory Council. In addition to the six focus topics, DHL Group places particular importance on respect for human rights in its sphere of activity. Reporting on fiscal year 2024 will include a materiality analysis conducted in line with EU requirements.",473,ONT_021,Human_Rights,Environmental,Human_Rights,ONTOLOGY,0.4,2,"rights, human",1,DHL-Group-2023-ESG-Presentation.pdf
Energy Packaging and material usage Waste and recycling Respect for human rights ESG standards in the supply chain Water and wastewater Transportation of dangerous goods  hazardous substances Productservice quality Corporate governance Social engagement Public policy and political influence Taxes and economic impact Anti-corruption and bribery Competitive conduct Working conditions and standards Training and development Data protection Risk and crisis management HIGH LOW ENVIRONMENTAL SOCIAL ECONOMIC IMPACT BUSINESS IMPACT HIGH 1.,536,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.6666666666666666,2,"environmental, energy",1,DHL-Group-2023-ESG-Presentation.pdf
Climate and environmental protection focusing on GHG emissions 2. Employee engagement 3. Occupational safety and health 4. Diversity and inclusion 5. Cybersecurity 6 Focus topics Results of the 2021 materiality analysis1 13 Approach IN DIALOGUE WITH STAKEHOLDERS Dialogue and exchange with stakeholders is an important process for DHL Group and takes place on a regular basis. Dialogue formats1 are used for collaboration and to develop solutions to future social and business challenges.,488,ONT_041,Diversity,Environmental,Diversity,ONTOLOGY,0.6666666666666666,2,"diversity, environmental",1,DHL-Group-2023-ESG-Presentation.pdf
Crucial for DHL Group Other stakeholders Shareholders Employees Investors Customers Potential employees Employee representatives Suppliers  subcontractors Business associations NGOs Media Policymakers  regulators Science Major stakeholder groups of SOCIETY MARKETPLACE WORKPLACE CAPITAL MARKETS 1 Stakeholder Engagement Guidelines (AA1000 Standard).,349,ONT_044,Environmental_Policy,Environmental,Environmental_Policy,ONTOLOGY,0.25,1,policy,1,DHL-Group-2023-ESG-Presentation.pdf
14 Approach FOCUS OF THE ESG ROADMAP Three focus areas defined in line with the 2021 materiality analysis Green solutions for sustainable logistics Great company to work for all Highly trusted company DHL Group makes a positive contribution to society through its corporate citizenship programs. 15 FOR INTERNAL USE ESG ROADMAP MEASURES AND KPIS Concrete measures and measurable KPIs are used to track and show our performance to date. ESG KPIs are embedded in the management system.,483,ONT_024,Green_Buildings,Environmental,Green_Buildings,ONTOLOGY,0.2,1,green,1,DHL-Group-2023-ESG-Presentation.pdf
"Realized Decarbonization Effects, Employee Engagement and the external cybersecurity rating contribute to the variable remuneration components of Board of Management members and upper management employees. Outlook Approach 1 Remuneration-relevant. 2 Represents the aggregated and weighted results of five statements in the annual Group-wide Employee Opinion Survey.",365,ONT_048,Remuneration,Environmental,Remuneration,ONTOLOGY,0.3333333333333333,1,remuneration,1,DHL-Group-2023-ESG-Presentation.pdf
