text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"List of shareholdings 31 December 2023 Page 1 of 10 Name Country, Headquarters Group equity share  Currency Equity in thousands Net income in thousands Affiliated Companies included in the Consolidated Financial Statements Europe ABIS GmbH 6), 9) Germany, FrankfurtMain 100.00 EUR 128 0 Agheera GmbH 6), 9) Germany, Bonn 100.00 EUR 25 0 Airmail Center Frankfurt GmbH 9) Germany, FrankfurtMain 100.00 EUR 7,143 1,780 ALTBERG GmbH 6), 9) Germany, Bonn 94.50 EUR 50 0 Albert Scheid GmbH 6), 9) Germany, Cologne 100.00 EUR 1,022 0 AO DHL International Russia, Moscow 100.00 EUR 11,978 7,340 Betreibergesellschaft Verteilzentrum GmbH 6), 9) Germany, Bonn 100.00 EUR 25 0 Blue Eagle Consolidation Services GmbH Germany, Mainz 100.00 EUR 60 1 Braid Group (Holdings) Limited United Kingdom, Renfrew 100.00 EUR 22,390 257 Braid Logistics (UK) Limited United Kingdom, Renfrew 100.00 EUR 31,084 -2,599 Danmar Lines AG Switzerland, Basel 100.00 EUR 32,659 -1,721 Danzas Deutschland Holding GmbH 6), 9) Germany, FrankfurtMain 100.00 EUR 265,025 0 Danzas Fashion Service Centers B.V. Netherlands, Waalwijk 100.00 EUR 831 32 Danzas Grundstücksverwaltung Frankfurt GmbH 6), 9) Germany, FrankfurtMain 100.00 EUR 22,679 0 Danzas Holding AG Switzerland, Basel 100.00 EUR 256,298 136,471 Danzas Verwaltungs GmbH 9) Germany, FrankfurtMain 100.00 EUR 8,928 4,582 Danzas, S.L.",1353,ONT_045,Financial_Inclusion,Environmental,Financial_Inclusion,ONTOLOGY,0.2,1,financial,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Spain, San Sebastián 100.00 EUR 780,179 65,179 Deutsche Post (Komerca) Limited Ireland, Dublin 100.00 EUR 2,604 53 Deutsche Post Adress Beteiligungsgesellschaft mbH 6), 9) Germany, Bonn 100.00 EUR 416 0 Deutsche Post Adress Geschäftsführungs GmbH Germany, Bonn 51.00 EUR -13 -32 Deutsche Post Adress GmbH  Co. KG 14) Germany, Bonn 51.00 EUR 20,811 17,032 Deutsche Post Assekuranz Vermittlungs GmbH 6), 9) Germany, Bonn 100.00 EUR 632,760 0 Deutsche Post Beteiligungen Holding GmbH 6), 9) Germany, Bonn 100.00 EUR 12,089,500 0 Deutsche Post Customer Service Center GmbH 6), 9) Germany, Dusseldorf 100.00 EUR 43 0 Deutsche Post DHL Corporate Real Estate Management GmbH  Co. Logistikzentren KG 14) Germany, Bonn 100.00 EUR 42,335 2,059 Deutsche Post DHL Corporate Real Estate Management GmbH  Co. Objekt Weißenhorn KG 8), 9) Germany, Bonn 100.00 EUR 0 0 Deutsche Post DHL Express Holding GmbH 6), 9) Germany, Bonn 100.00 EUR 8,843,025 0 Deutsche Post DHL Facility Management Deutschland GmbH Germany, Bonn 51.00 EUR 4,062 532 Deutsche Post DHL Real Estate Deutschland GmbH 6), 9) Germany, Bonn 100.00 EUR 51 0 Deutsche Post DHL Research and Innovation GmbH 6), 9) Germany, Bonn 100.00 EUR 7,500 0 Deutsche Post Dialog Solutions GmbH 6), 9) Germany, Bonn 100.00 EUR 1,126 0 Deutsche Post Direkt GmbH 6), 9) Germany, Bonn 100.00 EUR 60 0 Deutsche Post E-POST Solutions GmbH 6), 9) Germany, Bonn 100.00 EUR 13,792 0 Deutsche Post Fleet GmbH 6), 9) Germany, Bonn 100.00 EUR 511,115 0 Deutsche Post Global Mail (France) SAS France, Issy-les-Moulineaux 100.00 EUR 5,706 -971 Deutsche Post Global Mail (Netherlands) B. V. Netherlands, Utrecht 100.00 EUR 6,607 1,233 Deutsche Post Global Mail (UK) Limited United Kingdom, Langley 100.00 EUR 73,189 15,194 Deutsche Post Immobilien GmbH 6), 9) Germany, Bonn 100.00 EUR 6,025 0 Deutsche Post InHaus Services GmbH 6), 9) Germany, Bonn 100.00 EUR 1,534 0 Deutsche Post International B.V. Netherlands, Amsterdam 100.00 EUR 11,014,432 701,046 Deutsche Post Investments GmbH 6), 9) Germany, Bonn 100.00 EUR 25 0 Deutsche Post IT Services GmbH 6), 9) Germany, Bonn 100.00 EUR 39,254 0 Deutsche Post Mobility GmbH 6), 9) Germany, Bonn 100.00 EUR 6,055 0 Deutsche Post Reinsurance S.A. Luxembourg, Luxembourg 100.00 EUR 29,073 -79 Deutsche Post Shop Essen GmbH 6), 9) Germany, Essen 100.00 EUR 25 0 Deutsche Post Shop Hannover GmbH 6), 9) Germany, Hanover 100.00 EUR 25 0 Deutsche Post Shop München GmbH 6), 9) Germany, Munich 100.00 EUR 25 0 Deutsche Post Transport GmbH 6), 9) Germany, Bonn 100.00 EUR 25 0 DHL (Cyprus) Ltd. Cyprus, Nikosia 100.00 EUR 5,245 724 DHL 2-Mann-Handling GmbH 6), 9) Germany, Bonn 100.00 EUR 616 591 DHL Air (Austria) GmbH Austria, Vienna 100.00 EUR 11,802 6,235 DHL Air Limited United Kingdom, Hounslow 100.00 EUR 273,371 22,644 DHL AirWays GmbH 6), 9) Germany, Cologne 100.00 EUR 25 0 DHL Automotive GmbH 6), 9) Germany, Hamburg 100.00 EUR 4,091 0 DHL Automotive Offenau GmbH 6), 9) Germany, Bonn 100.00 EUR 275 0 DHL Automotive s.r.o.",2995,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,corporate,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Slovenia, Trzin 100.00 EUR 2,753 1,048 DHL Exel Slovakia, s.r.o. Slovakia, Senec 100.00 EUR 1,391 634 DHL Exel Supply Chain (Poland) Sp. Poland, Warsaw 100.00 EUR -13,378 -4,417 DHL Exel Supply Chain (Spain), S.L.U. Spain, San Fernando de Henares 100.00 EUR 37,857 13,060 DHL Exel Supply Chain Limited United Kingdom, Milton Keynes 100.00 EUR 0 0 DHL Exel Supply Chain Portugal, S.A. Portugal, Alverca 100.00 EUR 160 -572 DHL Exel Supply Chain Trade (Poland) Sp.",462,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"s r. o. Slovakia, Bratislava 100.00 EUR 3,358 1,561 DHL Express (Sweden) AB Sweden, Stockholm 100.00 EUR 18,892 9,807 DHL Express (UK) Limited United Kingdom, Hounslow 100.00 EUR 3,769 -1,552 DHL Express Bulgaria EOOD Bulgaria, Sofia 100.00 EUR 3,484 2,011 DHL Express Customer Service GmbH 6), 9) Germany, Monheim am Rhein 100.00 EUR 25 0 DHL Express Estonia AS Estonia, Tallinn 100.00 EUR 10,353 1,266 DHL Express Germany GmbH 6), 9) Germany, Bonn 100.00 EUR 6,618 0 DHL Express Hungary Forwarding and Services LLC Hungary, Budapest 100.00 EUR 5,470 3,720 DHL Express Latvia SIA Latvia, Marupe 100.00 EUR 3,631 828 DHL Express Macedonia d.o.o.e.l.",649,ONT_039,Customer_Relationship,Environmental,Customer_Relationship,ONTOLOGY,0.2,1,customer,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Spain, Madrid 100.00 EUR 53,698 15,190 DHL Fastighet X AB Sweden, Solna 100.00 EUR 358 -7 DHL Finance Services B.V. Netherlands, Maastricht 100.00 EUR 8,340 2,353 DHL FoodLogistics GmbH 6), 9) Germany, Cologne 100.00 EUR 258 0 DHL Freight (Belgium) NV Belgium, Kontich 100.00 EUR 892 -2,025 DHL Freight (France) SAS France, Marne-la-Vallée 100.00 EUR 6,766 3,982 DHL Freight (Netherlands) B.V. Netherlands, Tiel 100.00 EUR -51,258 -3,818 DHL Freight (Sweden) AB Sweden, Solna 100.00 EUR 116,960 51,085 DHL Freight CZ s.r.o.",523,ONT_050,Sustainable_Finance,Environmental,Sustainable_Finance,ONTOLOGY,0.2,1,finance,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Czech Republic, Ostrava 100.00 EUR 11,267 7,149 DHL Sorting Center GmbH 6), 9) Germany, Bonn 100.00 EUR 2,825 2,800 DHL Supply Chain (Belgium) NV Belgium, Mechelen 100.00 EUR 2,522 3,878 DHL Supply Chain (Denmark) AS Denmark, Greve 100.00 EUR -13,677 2,671 DHL Supply Chain (Finland) Oy Finland, Vantaa 100.00 EUR 16,208 1,840 DHL Supply Chain (Ireland) Limited Ireland, Dublin 100.00 EUR 35,263 1,080 DHL Supply Chain (Italy) S.p.A. Italy, Milan 100.00 EUR 87,474 -2,441 DHL Supply Chain (Leipzig) GmbH 6), 9) Germany, Bonn 100.00 EUR 25 0 DHL Supply Chain (Netherlands) B.V. Netherlands, Utrecht 100.00 EUR 93,317 90,620 DHL Supply Chain (Norway) AS Norway, Skedsmokorset 100.00 EUR 9,637 6,142 DHL Supply Chain (Poland) Sp.",726,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Poland, Warsaw 100.00 EUR -663 -881 DHL Supply Chain (Slovakia) s.r.o.",70,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Slovakia, Senec 100.00 EUR 1,147 545 DHL Supply Chain (Sweden) AB Sweden, Stockholm 100.00 EUR 8,284 3,292 DHL Supply Chain (Sweden) Holding AB Sweden, Stockholm 100.00 EUR 5 0 DHL Supply Chain (Sweden) Plot AB Sweden, Stockholm 100.00 EUR 5 0 DHL Supply Chain eCommerce (Netherlands) B.V. Netherlands, Eindhoven 100.00 EUR - - DHL Supply Chain Hungary Limited Hungary, Ullo 100.00 EUR 721 1,515 DHL Supply Chain International Limited United Kingdom, Bracknell 100.00 EUR 9,864 700 DHL Supply Chain Limited United Kingdom, Milton Keynes 100.00 EUR 885,317 38,309 DHL Supply Chain Management B.V. Netherlands, Schiphol 100.00 EUR 13,009 3,302 DHL Supply Chain Management GmbH 6), 9) Germany, Bonn 100.00 EUR 25 0 DHL Supply Chain Operations GmbH 6), 9) Germany, Bonn 100.00 EUR 21,779 0 DHL Supply Chain VAS GmbH 6), 9) Germany, Bonn 100.00 EUR 25 0 DHL Supply Chain, s.r.o.",873,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Spain, Madrid 100.00 EUR 3 0 DZ Specialties B.V. Netherlands, Maastricht 100.00 EUR 433,890 25,200 Erste End of Runway Development Leipzig GmbH 6), 9) Germany, Cologne 100.00 EUR 25 0 Erste Logistik Entwicklungsgesellschaft MG GmbH 6), 9) Germany, Hanover 100.00 EUR 25 0 Eurodifarm S.r.l.",289,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,development,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Poland, Gdynia 100.00 EUR 3,004 -527 Hillebrand Gori Scandinavia AS Denmark, Gentofte 100.00 EUR 3,598 1,316 Hillebrand Gori Scotland Ltd. United Kingdom, Glasgow 100.00 EUR -1,629 2,598 Hillebrand Gori Spain S.A. Spain, Barcelona 100.00 EUR 25,390 7,328 Hillebrand Gori Sverige AB Sweden, Stockholm 100.00 EUR 18 15 Hillebrand Gori Supply Chain Management B.V. Netherlands, Haarlem 100.00 EUR 1,289 576 Hillebrand Gori UK Ltd. United Kingdom, West Thurrock 100.00 EUR 1,764 7,231 Hull, Blyth (Angola) Limited United Kingdom, Bracknell 100.00 EUR -4,662 -714 Hyperion Properties Limited 5) United Kingdom, Milton Keynes 100.00 EUR 0 0 it4logistics GmbH 6), 9) Germany, Potsdam 100.00 EUR 792 517 J.F.",700,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"GmbH 6), 9) Germany, Bonn 100.00 EUR 3,454 429 Scherbauer Spedition GmbH 6), 7b), 9) Germany, Neutraubling 50.00 EUR 5,880 923 SIA DHL Logistics Latvia Latvia, Marupe 100.00 EUR 482 -115 StarBroker AG Switzerland, Basel 100.00 EUR 7,325 -6,322 Stodstorp AB Sweden, Stockholm 100.00 EUR 5 0 StreetScooter GmbH 6), 9) Germany, Aachen 100.00 EUR 8,131 0 Tradeteam Limited United Kingdom, Milton Keynes 100.00 EUR 24,717 1,329 Trucks and Child Safety Limited 5) United Kingdom, Milton Keynes 100.00 EUR 43 0 UAB DHL Lietuva Lithuania, Vilnius 100.00 EUR 8,441 1,280 UK Mail Group Limited United Kingdom, Slough 100.00 EUR 26,492 0 Vetsch AG, Internationale Transporte 1) Switzerland, Buchs 100.00 EUR 128 -32 Vetsch Internationale Transporte GmbH 1) Austria, Wolfurt 100.00 EUR - - VignoblExport SAS France, Orléans 70.00 EUR 2,156 1,166 Americas AEI Drawback Services Inc. USA, Columbus 100.00 EUR 10,955 4,097 Aero Express del Ecuador (TransAm) Ltda.",948,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,safety,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Uruguay, Montevideo 100.00 EUR 4,505 868 DHL Aviation (Americas), Inc. USA, Plantation 100.00 EUR 1,711,361 66,905 DHL Corporate Services SC México Mexico, Tepotzotlán 100.00 EUR 3,597 -6 DHL Customer Solutions  Innovations (USA) Inc. USA, Plantation 100.00 EUR -609 698 DHL Customer Support (Costa Rica) S.A. Costa Rica, San José 100.00 EUR 3,575 788 DHL Customs (Costa Rica) S.A. Costa Rica, San José 100.00 EUR 2,277 473 DHL de Guatemala S.A. Guatemala, Guatemala City 100.00 EUR 4,772 1,410 DHL Dominicana SA Dominican Republic, Santo Domingo 100.00 EUR 2,351 351 DHL Express (Argentina) S.A. Argentina, Buenos Aires 100.00 EUR 4,038 3,520 DHL Express (Bermuda) Ltd. Bermuda, Hamilton 100.00 EUR 3,629 461 DHL Express (Brazil) Ltda.",736,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,corporate,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Brazil, São Paulo 100.00 EUR 135,866 7,180 DHL Management CenAm S. A. Costa Rica, Heredia 100.00 EUR 16,678 13,964 DHL Metropolitan Logistics SC Mexico S.A. de C.V. Mexico, Tepotzotlán 100.00 EUR 113,622 25,639 DHL Network Operations (USA), Inc. USA, Plantation 100.00 EUR 745,496 7,947 DHL Nicaragua, S.A. Nicaragua, Managua 100.00 EUR -913 -113 DHL of Curacao N.V. Curaçao, Curaçao 100.00 EUR 1,365 16 DHL Panama S.A. Panama, Panama City 100.00 EUR 7,932 1,746 DHL Regional Services, Inc. USA, Plantation 100.00 EUR -4,191 4,609 DHL S.A. Guatemala, Guatemala City 100.00 EUR 610 532 DHL Servicios, S.A. de C.V. Mexico, Mexico City 100.00 EUR 81 19 DHL Sint Maarten N.V. Sint Maarten, Philipsburg 100.00 EUR -89 -1 DHL Supply Chain (Argentina) S.A. Argentina, Buenos Aires 100.00 EUR 644 1,489 DHL Supply Chain (Chile) S.A. Chile, Santiago de Chile 100.00 EUR 1,438 -1,475 DHL Supply Chain Automotive Mexico S.A. de C.V. Mexico, Tepotzotlán 100.00 EUR 8,279 13,291 DHL Supply Chain Colombia S.A.S.",998,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Colombia, Bogotá 100.00 EUR 3,624 640 DHL Supply Chain de Lima S.A.C. Peru, Lima 100.00 EUR 3,575 634 DHL Transportes (Brazil) Ltda.",132,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Colombia, Bogotá 100.00 EUR 5,453 676 Suppla S.A. Colombia, Bogotá 99.99 EUR 26,134 -82 Tafinor S.A. 5) Uruguay, Montevideo 100.00 EUR 5 0 TCL Supply Chain (Canada) Inc. Canada, Toronto 100.00 EUR 1,516 1,512 Tibbett  Britten Group Canada Inc. Canada, Toronto 100.00 EUR 18,190 5,991 Tibbett  Britten Group North America, LLC USA, Westerville 100.00 EUR 32,908 1,310 Tracker Logistics Inc. Canada, Calgary 100.00 EUR -600 439 Trillium Supply Chain Inc. Canada, Ontario 100.00 EUR -116 506 Unidocks Assessoria e Logistica de Materiais Ltda.",539,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Malaysia, Kuala Lumpur 100.00 EUR 6,094 1,363 DHL Aviation (Hong Kong) Ltd. China, Hong Kong 99.85 EUR 49,270 5,737 DHL Aviation Services (Shanghai) Co., Ltd. China, Shanghai 100.00 EUR 43,153 1,177 DHL Distribution (Thailand) Limited Thailand, Nonthaburi 100.00 EUR 86,636 5,818 DHL eCommerce (Hong Kong) Limited China, Hong Kong 100.00 EUR -14,592 -1,059 DHL eCommerce (India) Private Limited India, Mumbai 100.00 EUR -21,467 -4,308 DHL eCommerce (Japan) K.K.",461,ONT_027,Non-GHG_Air_Emissions,Environmental,Non-GHG_Air_Emissions,ONTOLOGY,0.16666666666666666,1,non,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Japan, Tokyo 100.00 EUR 594 108 DHL Sinotrans Bonded Warehouse (Beijing) Co., Ltd. China, Beijing 100.00 EUR 4,193 490 DHL Sinotrans International Air Courier Ltd. 7c) China, Beijing 50.00 EUR 471,684 405,809 DHL Summit Solutions, Inc. 7b) Phillipines, Pasig City 50.00 EUR 5,103 2,076 DHL Supply Chain (Australia) Pty Limited Australia, Rhodes 100.00 EUR 202,616 38,571 DHL Supply Chain (Korea) Ltd. South Korea, Seoul 100.00 EUR 5,492 1,323 DHL Supply Chain (Malaysia) Sdn.",475,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Malaysia, Kuala Lumpur 100.00 EUR 20,521 4,921 DHL Supply Chain (New Zealand) Limited New Zealand, Auckland 100.00 EUR 45,585 4,584 DHL Supply Chain (Taiwan) Co. Ltd. Taiwan, Taipei 100.00 EUR 20,079 4,508 DHL Supply Chain (Thailand) Limited Thailand, Bangkok 100.00 EUR 45,771 3,504 DHL Supply Chain (Vietnam) Limited Vietnam, Ho Chi Minh City 100.00 EUR 8,846 -239 DHL Supply Chain (Vietnam) Transportation JSC Vietnam, Ho Chi Minh City 51.00 EUR -2,768 684 DHL Supply Chain India Private Limited India, Mumbai 100.00 EUR 55,442 13,078 DHL Supply Chain K.K.",559,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Japan, Tokyo 100.00 EUR 62,699 15,709 DHL Supply Chain Management Phils., Inc. Philippines, Binan City 100.00 EUR 1,028 1,063 DHL Supply Chain Myanmar Ltd. Myanmar, Rangoon 100.00 EUR 407 193 DHL Supply Chain Phils., Inc. Philippines, Manila 100.00 EUR 9,231 2,853 DHL Supply Chain Singapore Pte.",296,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Ltd. Singapore, Singapore 100.00 EUR 28,550 -1,329 DHL Transportation (Philippines) Incorporated 7b) Philippines, Paranaque City 40.00 EUR 109 -40 DHL Worldwide Express (Bangladesh) Private Limited Bangladesh, Dhaka 90.00 EUR 21,640 4,673 DHL-VNPT Express Ltd. Vietnam, Ho Chi Minh City 51.00 EUR 13,885 3,375 Exel Logistics Services Lanka (Private) Ltd. Sri Lanka, Peliyagoda 100.00 EUR 3,610 301 Ezyhaul (Thailand) Co., Ltd. Thailand, Bangkok 100.00 EUR 513 -36 Ezyhaul Philippines Inc. Philippines, City of Makati 100.00 EUR 155 32 Ezyhaul Pte.",547,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,corporate,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"Ltd. Singapore, Singapore 100.00 EUR 15,192 3,008 Hillebrand Gori Vietnam Company Limited Vietnam, Ho Chi Minh City 99.60 EUR 280 -18 Huzhou Logistics Investment Holding Limited China, Hong Kong 95.00 EUR -29 -22 JF Hillebrand Philippines Inc. Philippines, Pasay City 99.99 EUR -64 -523 Mulura Logistics Private Ltd. India, Bangalore 100.00 EUR -36,489 938 PT Birotika Semesta 7c) Indonesia, Jakarta 49.00 EUR 31,736 3,440 PT Danzas Sarana Perkasa Indonesia, Jakarta 100.00 EUR 1,145 -83 PT DHL Global Forwarding Indonesia Indonesia, Tangerang Selatan 100.00 EUR 65,813 12,323 PT DHL Supply Chain Indonesia Indonesia, Jakarta 90.34 EUR 30,780 5,213 PT DHL Supply Chain Transport Indonesia Indonesia, Jakarta 100.00 EUR 81 -52 PT DHL Smart Solutions Indonesia, Jakarta 100.00 EUR 124 -16 PT Dunia Handal Logistik 12) Indonesia, Jakarta 0.00 EUR -389 104 PT Ezyhaul Logistics Indonesia Indonesia, Jakarta 100.00 EUR 257 53 PT Ezyhaul Technologies Indonesia 7b) Indonesia, Jakarta 49.00 EUR -5,748 -335 PT Dunia Harmoni Lestari 7b) Indonesia, Jakarta 0.00 EUR 35 0 PT.",1065,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
"(c) Bahrain, Manama 100.00 EUR 42,712 7,829 DHL Aviation Kenya Ltd. Kenya, Nairobi 100.00 EUR 27 13 DHL Egypt WLL Egypt, Cairo 100.00 EUR 7,484 4,276 DHL Ethiopian Airlines Logistics Services Share Company 7b) Ethiopia, Addis Ababa 48.98 EUR 320 759 DHL Express (Rwanda) Limited Rwanda, Kigali 100.00 EUR 381 34 DHL Express Maroc S.A. Morocco, Casablanca 100.00 EUR 29,287 3,546 DHL Food Logistics Egypt Ltd. Egypt, Alexandria 97.20 EUR 1,529 392 DHL Freight Tasimacilik ve Lojistik Hizmetleri A.S. Turkey, Istanbul 100.00 EUR 941 648 DHL Ghana Limited Ghana, Accra 100.00 EUR 461 101 DHL Global Forwarding  Co. LLC 7c) Oman, Muscat 40.00 EUR 7,970 1,531 DHL Global Forwarding (Angola) - Comércio e Transitários, Limitada Angola, Luanda 100.00 EUR 3,869 1,505 DHL Global Forwarding (Congo) SA Republic of the Congo, Pointe-Noire 100.00 EUR -4,794 -128 DHL Global Forwarding (Gabon) SA Gabon, Libreville 99.00 EUR 746 -970 DHL Global Forwarding (JSC) - Libya for delivery of goods services 7a) Libya, Tripoli 49.00 EUR 1,431 321 DHL Global Forwarding (Kenya) Limited Kenya, Nairobi 100.00 EUR -1,986 -1,147 DHL Global Forwarding (Kuwait) Company WLL 7b) Kuwait, Safat 49.00 EUR 5,078 1,057 DHL Global Forwarding (Mauritius) Ltd. Mauritius, Port Louis 100.00 EUR 1,638 1,297 DHL Global Forwarding (Uganda) Limited Uganda, Kampala 100.00 EUR 48 -656 DHL Global Forwarding Abu Dhabi - Sole Proprietorship LLC United Arab Emirates, Abu Dhabi 100.00 EUR 13,104 2,858 DHL GLOBAL FORWARDING ALGERIE EURL Algeria, Algiers 100.00 EUR 2,806 622 DHL Global Forwarding Azerbaijan LLC Azerbaijan, Baku 100.00 EUR 3 -40 DHL Global Forwarding Bahrain WLL Bahrain, Manama 60.00 EUR -169 0 DHL Global Forwarding Burkina SA Burkina Faso, Ouagadougou 100.00 EUR 23 -161 DHL Global Forwarding Israel Ltd Israel, Tel Aviv 100.00 EUR 171,726 12,137 DHL Global Forwarding Lebanon S.A.L.",1862,ONT_027,Non-GHG_Air_Emissions,Environmental,Non-GHG_Air_Emissions,ONTOLOGY,0.16666666666666666,1,non,1,DHL-Group-list-of-shareholdings-2023-12-31.pdf
