text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"On course for net zero Supporting paper for E.ONs decarbonization strategy and climate-related disclosures Fourth edition (March 2024) 1  Contents 1 Introduction 4 1.1 The challenge of climate change and E.ONs role 4 1.2 E.ONs business segmentation 5 2 Climate strategy 8 2.1 Carbon emissions and targets 8 2.2 Measures to achieve climate targets 10 2.3 Voluntary carbon credits 14 2.4 Avoided carbon emissions 14 5 Climate transition 28 5.1 Just transition 28 5.2 Climate Transition Plan Elements 38 Appendix and Disclaimer 40 4 Climate adaption 27 3 TCFD disclosures 15 3.1 Governance 15 3.2 Strategy 17 3.3 Risk management 21 3.4 Metrics and targets 24 Purpose This document, which was published for the first time in 2021, is a supporting paper for E.ONs climate-related disclosures.",787,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.2857142857142857,2,"climate, risk",1,EON_2024_On_course_for_net_zero.pdf
"It provides a more detailed overview of E.ONs transition to a net-zero carbon world. Although its contents largely reflect TCFDs recommendations, it is not meant to be a stand-alone TCFD report. Rather, it draws on our annual TCFD financial and sustainability disclosures as well as discussions with our investors to address issues that go beyond these disclosures.",365,ONT_045,Financial_Inclusion,Environmental,Financial_Inclusion,ONTOLOGY,0.2,1,financial,1,EON_2024_On_course_for_net_zero.pdf
"It also aims to give readers a better understanding of E.ONs annual climate-related facts and figures, to contextualize this information, and to provide more detailed examples of impacts and measures. This fourth edition again updates content and places a special emphasis on a just transition and the climate transition plan.",326,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.14285714285714285,1,climate,1,EON_2024_On_course_for_net_zero.pdf
"3 Purpose Introduction The challenge of climate change and E.ONs role Air temperatures on earth have been rising since the industrial revolution, and 2023 was the warmest year on record. Climate change and the accelerating increase of GHG emissions is one of humanitys biggest challenges. Since the preindustrial period, atmospheric CO2 has risen from about 280 parts per million (ppm) to more than 422 ppm.1 The air now contains more CO2 than at any time in the last three million years.",488,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,EON_2024_On_course_for_net_zero.pdf
"Global warming causes sea level rise and extreme weather, including heat waves and severe floods. Plants and animals are at risk of losing their habi- tats, endangering many species and thus accelerating the loss of biodiversity. The people and ecosystems least able to cope will be hit the hardest. For millions of people, these changes will be so severe that they may have to relocate.",387,ONT_016,Biodiversity,Environmental,Biodiversity,ONTOLOGY,0.3333333333333333,1,biodiversity,1,EON_2024_On_course_for_net_zero.pdf
"The latest Intergovernmental Panel on Climate Change (IPCC), once again clearly underlined those developments.2 For all these reasons, systematic and coordinated action is urgently needed.",188,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,development,1,EON_2024_On_course_for_net_zero.pdf
"1 https:climate.nasa.govvital-signscarbon-dioxide  measurement data December 2023 2 https:www.ipcc.chreportsixth-assessment-report-working-group-ii 3 https:ourworldindata.orgemissions-by-sector Despite ongoing international efforts to cut emissions, more GHGs continue to accumulate in the atmosphere and intensify climate change.",330,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,EON_2024_On_course_for_net_zero.pdf
"The economic slowdown resulting from Corona 19 restrictions did not alter this, and the subsequent economic recovery has been accompanied by a renewed increase in GHG emissions. Current geopolitical tensions, in particular the Russia-Ukraine war, affect many countries energy policies, including temporary changes in their generation mix, such as in Germany. Becoming a low-carbon society will require far-reaching and enduring structural changes in all areas of society.",471,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,EON_2024_On_course_for_net_zero.pdf
"These changes include sector integration between electricity, heating, cooling, and mobility. Keeping tempera- tures well below 2C above pre-industrial levels is essential. But even if this target is achieved, there will still be tangible environmental and social consequences. E.ON: a playmaker for Europes energy transition The energy sector accounts for the largest share of anthropomorphic GHG emissions and will thus play a crucial role in the transformation to a low-carbon society.",488,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.6666666666666666,2,"environmental, energy",1,EON_2024_On_course_for_net_zero.pdf
"Roughly 73 percent of global GHG emissions are energy-related.3 Moreover, as the global demand for energy continues to rise, a rapid global transformation toward a renewable, green energy system is essential for mitigating climate change. E.ON focuses entirely on the new, low-carbon energy world characterized by sustainability, clean technologies, distributed energy generation, and empowered cus- tomers. This made E.ON a truly pan-European leader in energy infrastructure and customer solutions.",499,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,EON_2024_On_course_for_net_zero.pdf
