text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"Mit Solaranlagen, E-Mobilität, Energiespeichern, einer sinnvollen Energiesteuerung und Lösungen für die Sektorkopplung senken unsere Kundinnen und Kunden einerseits ihre Kosten und Emissionen  und steigern anderseits Komfort und Lebensqualität. Das gilt gleichermaßen für Privatkunden und kleine Unternehmen wie auch für große Betriebe und Kommunen. Europas Energiesystem wird immer CO2-freier, dezentraler und digitaler.",421,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,EON_GB2023_gesamt_dt_final.pdf
Über E.ON Inhalt Suchen Zurück 4 E.ON Integrierter Geschäftsbericht 2023 E.ON auf einen Blick 5 An unsere Investoren 14 Zusammengefasster Lagebericht 26 Grundlagen des Konzerns 29 Klimaschutz und Umwelt 42 Mitarbeiter und Gesellschaft 58 Governance 80 Nachhaltige Finanzierung und nachhaltiges Investment 93 Wirtschaftsbericht 103 Prognosebericht 128 Risiko- und Chancenbericht 130 Angaben nach  289 Abs. 4 beziehungsweise 315 Abs.,431,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,governance,1,EON_GB2023_gesamt_dt_final.pdf
"4 HGB zum internen Kontrollsystem im Hinblick auf den Rechnungslegungsprozess 139 Übernahmerelevante Angaben  Angaben nach  289a,  315a HGB sowie erläuternder Bericht 142 Konzernabschluss 144 Gewinn- und Verlustrechnung 145 Aufstellung der im Eigenkapital erfassten Erträge und Aufwendungen 146 Bilanz 147 Kapitalflussrechnung 149 Entwicklung des Eigenkapitals 151 Anhang 153 Weitere Informationen 265 Versicherung der gesetzlichen Vertreter 266 Bestätigungsvermerk des unabhängigen Abschlussprüfers 267 Prüfungsvermerk des unabhängigen Wirtschaftsprüfers 274 Organe 277 Mehrjahresübersicht 281 Task Force on Climate-related Financial Disclosures (TCFD) 283 Nachhaltigkeitskennzahlen 285 EU-Taxonomie 290 Global Reporting Initiative (GRI)-Index 303 Index zur nichtfinanziellen Erklärung (NFE) 309 Sustainable Development Goals (SDG)-Index 310 Sustainability Accounting Standards Board (SASB)-Index 311 Finanzkalender und Impressum 317 Inhalt Suchen Zurück 5 E.ON Integrierter Geschäftsbericht 2023 Tempo bei Investitionen beschleunigt und insgesamt 6,4 Mrd  im Jahr 2023 investiert Wachstumskurs im Jahr 2023 erfolgreich fortgesetzt und Prognose unter anderem aufgrund temporärer Effekte übertroffen: bereinigtes EBITDA von 9,4 Mrd  und bereinigten Konzernüberschuss von 3,1 Mrd  erzielt Ausblick für das Geschäftsjahr 2024: bereinigtes EBITDA zwischen 8,8 und 9,0 Mrd  und bereinigter Konzernüberschuss zwischen 2,8 und 3,0 Mrd  erwartet Dividende in Höhe von 0,53  pro Aktie für das Geschäftsjahr 2023 vorgeschlagen  dies entspricht einer Steigerung von 4 Prozent gegenüber dem Vorjahr Verschuldungsfaktor liegt Ende 2023 mit 4,0 deutlich unterhalb des Maximalwerts von 5,0 E.ON auf einen Blick Inhalt Suchen Zurück 6 E.ON Integrierter Geschäftsbericht 2023 Wie wir Wert schaffen Die folgende Übersicht zeigt anhand von Beispielen und relevanten Daten, wie wir Wert für unsere Stakeholder schaffen.",1900,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,development,1,EON_GB2023_gesamt_dt_final.pdf
")2 37.691 32.742 15 Verschuldungsfaktor2 4,0 4,1 -2 Kreditrating SP BBB BBB 0 Kreditrating Moodys Baa2 Baa2 0 Kreditrating Fitch BBB BBB 0 Durchschnittliches Capital Employed 59.895 58.760 2 Eigenkapital 19.970 21.867 -9 Bilanzsumme 113.506 134.009 -15 Cash Conversion Rate (in ) 80 151 -473 ROCE (in ) 10,7 8,8 223 Ergebnis je Aktie4, 5 (in ) 0,20 0,70 -71 Ergebnis je Aktie aus bereinigtem Konzernüberschuss4, 5 (in ) 1,18 1,05 12 Dividende je Aktie6 (in ) 0,53 0,51 4 Dividendensumme 1.384 1.331 4 Inhalt Suchen Zurück 10 E.ON Integrierter Geschäftsbericht 2023 Kennzahlen Nachhaltigkeit Inhalt Suchen Zurück 11 E.ON Integrierter Geschäftsbericht 2023 Kennzahlen des E.ON-Konzerns Nachhaltigkeit Nachhaltigkeitskennzahlen 2023 2022 Umwelt CO2-Emissionen: Scope 1 (in Mio Tonnen) 2,01 2,88 Scope 2 (in Mio Tonnen) (standortbasiert) 3,46 3,38 Scope 3 (in Mio Tonnen) (marktbasiert) 65,23 82,58 Investitionen (CapEx) gemäß EU-Taxonomie-Verordnung (in )1 98 98 Betriebsausgaben (OpEx) gemäß EU-Taxonomie-Verordnung (in )1 98 97 Umsatz gemäß EU-Taxonomie-Verordnung (in )1 97 97 Vermiedene CO2-Emissionen zusammen mit unseren Kunden (in Mio Tonnen)2 106 108 Anteil der Anschlussleistung der Erneuerbare-Energie-Anlagen am Stromnetz von E.ON (in )3 86 85 Ökologisches Trassenmanagement (in ) 12 8 Anzahl der installierten Smart Energy Meter (in Tsd) 13.803 12.178 Anzahl der installierten Wärmezähler (in Tsd) 94 n.a.",1414,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,EON_GB2023_gesamt_dt_final.pdf
"pro Mitarbeiter)7 22,0 18,2 Durchschnittliche Dauer der Netzausfälle für Strom (SAIDI) (in Minuten)8 Deutschland 21 24 Schweden 156 121 Tschechien 253 451 Gemeinschaftsbeitrag (in Mio ) 22 18 Ehrenamtliches Engagement von E.ON-Mitarbeitern (Anzahl Stunden ehrenamtlicher Arbeit) 22.129 13.340 Unternehmensführung Anteil von Frauen im Aufsichtsrat (in )9 38 30 Anteil unabhängiger Aufsichtsratsmitglieder (in ) 100 100 ESG-Ziele sind Bestandteil der Vorstandsvergütung   1 Anteil taxonomiekonformer Investitionen, Betriebsausgaben und Umsatzerlöse in Bezug auf taxonomiefähige Aktivitäten  2 Die Kennzahl quantifiziert die vermiedenen Emissionen, die im Zusammenhang mit unseren Kunden, Anlagen und Lösungen zu einer kohlenstoffarmen Wirtschaft beitragen  3 Der Anteil der angeschlossenen Erneuerbare-Energien-Kapazität ist der berechnete Prozentsatz der Summe der installierten Erneuerbare-Energien-Leistung geteilt durch die Gesamtsumme aller installierten Erzeugungskapazitäten  4 Anzahl der Mitarbeiter in Personen ohne Auszubildende und WerkstudentenPraktikanten  5 Serious Incidents and Fatalities (SIF) bei Mitarbeitern: Sicherheitsvorfälle pro Mio Arbeitsstunden  6 Lost Time Injury Frequency (LTIF) misst arbeitsbedingte Unfälle mit Ausfallzeiten pro Mio Arbeitsstunden  7 Durchschnittliche formale Schulungsstunden pro Mitarbeiter und Jahr  8 System Average Interruption Duration Index (SAIDI) für Strom  9 Bezieht sich auf Aktionärsvertreter Inhalt Suchen Zurück 12 E.ON Integrierter Geschäftsbericht 2023 Kennzahlen Energienetze Inhalt Suchen Zurück 13 E.ON Integrierter Geschäftsbericht 2023 Kennzahlen Kundenlösungen Inhalt Suchen Zurück 14 E.ON Integrierter Geschäftsbericht 2023 Gute Gründe, in die E.ON-Aktie zu investieren Energienetze Langfristiges grünes Wachstum in einem regulierten Umfeld Jahrzehntelange Wachstumschancen durch die grüne Energiewende und ein reguliertes Geschäftsmodell sorgen für eine erkennbare und profitable Ergebnisentwicklung Energy Infrastructure Solutions (EIS) Beschleunigtes Wachstum durch Infrastrukturprojekte Das erstklassige Infrastrukturportfolio profitiert von der notwendigen Dekarbonisierung von Städten und Industrien Energy Retail Attraktive Renditen und zuverlässige Cashflows Stabile Cashflows aus einem diversifizierten und investitionsarmen Geschäft.",2313,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,EON_GB2023_gesamt_dt_final.pdf
"E.ON hat bereits im Jahr 2021 den Rahmen des sogenannten Green Bond Framework für Wertpapierschuldverschreibungen, deren Emissionserlöse zur Finanzierung nachhaltiger Investitionsprojekte dienen  als damals erstes Unternehmen , vollständig nicht nur auf die ICMA Green Bond Principles, sondern auch auf die EU-Taxonomie abgestellt.",331,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,EON_GB2023_gesamt_dt_final.pdf
"Von links nach rechts: Marc Spieker Chief Financial Officer Victoria Ossadnik Chief Operating Officer Digital Thomas König Chief Operating Officer Networks Patrick Lammers Chief Operating Officer Commercial Leonhard Birnbaum Chief Executive Officer An unsere Investoren Inhalt Suchen Zurück  E.ON am Kapitalmarkt  Brief des Vorstandsvorsitzenden  Bericht des Aufsichtsrats 19 E.ON Integrierter Geschäftsbericht 2023 Brief des Vorstands- vorsitzenden Liebe Aktionärinnen und Aktionäre, liebe Freundinnen und Freunde von E.ON, als ich vor drei Jahren mein Amt übernahm, habe ich von einer Dekade des Wachstums für E.ON gesprochen.",628,ONT_045,Financial_Inclusion,Environmental,Financial_Inclusion,ONTOLOGY,0.2,1,financial,1,EON_GB2023_gesamt_dt_final.pdf
"Mit unseren Milliardeninvestitionen in die Energiewende bieten wir das, was Europa jetzt mehr denn je braucht: eine neue Energieinfrastruktur für nachhaltige, sichere und bezahlbare Energie. Der Zubau der erneuerbaren Erzeugung findet weltweit und überall statt. In Frankreich trotz der Kernkraft. In Polen trotz der Steinkohle. In Asien trotz des gleichzeitigen Zubaus an konventioneller Erzeugung. In den Südstaaten der USA trotz der Tatsache, dass Climate Action dort fast ein Schimpfwort ist.",496,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.14285714285714285,1,climate,1,EON_GB2023_gesamt_dt_final.pdf
Es geht um eine Elektrifizierung des Verkehrs und der Heiz- und Klimatechnik von Gebäuden. Und für all das braucht es Netzanschlüsse und einen weltweiten Ausbau beziehungsweise eine Ertüchtigung bestehender Netze. Die IEA rechnet in ihrem jüngsten World Energy Outlook mit einer erforderlichen Verdopplung der globalen Netzinfrastruktur.,337,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,EON_GB2023_gesamt_dt_final.pdf
"Es ist ein Wachstumsgeschäft, das immer stärker in den Fokus von Politik, Öffentlichkeit und Kapitalanlegern rückt. Denn unsere Netze sind systemrelevant für die Energiewende. Die letzten Wochen im Kalenderjahr 2023 markierten in dieser Hinsicht fast schon so etwas wie eine Zäsur: Zum einen hat die Europäische Kommission ihren Grid Action Plan verabschiedet. Damit hat sie  noch vor wenigen Jahren undenkbar  den Netzausbau an die Spitze ihrer Energiewende-Agenda gesetzt.",474,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,EON_GB2023_gesamt_dt_final.pdf
