text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"Non-Financial Report 2023 Deutsche Bank Contents 3 Letter from the Chief Executive Officer 5 Letter from the Chairman of the Supervisory Board 7 Introduction 8 About Deutsche Bank 9 About this report 10 Materiality assessment 12 Transition toward a sustainable and climate-neutral economy 14 Sustainability strategy and implementation 21 Sustainable finance 45 Climate and other environmental risks 65 Environmental and social due diligence 73 Human rights 78 In-house ecology 85 Governance and operations 87 Corporate governance 99 Stakeholder engagement and thought leadership 103 Culture, integrity and conduct 107 Public policy and regulation 111 Anti-financial crime 116 Tax 118 Data protection 121 Product responsibility 124 Client satisfaction 129 Technology, data and innovation 131 Digitization and innovation 134 Information security 137 Employees and corporate social responsibility 139 Employment and employability 155 Corporate social responsibility 160 Art, culture and sports 161 Appendix 162 Reports of the independent auditor 170 ESG-related targets and goals 172 Tabular disclosures in accordance with Article 8 of the Taxonomy Regulation 244 GRI Content Index and UN Global Compact 262 Sustainability Accounting Standards Board (SASB) Index 266 Recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) 269 Principles for Responsible Banking 293 ImprintPublications Letter from the Chief Executive Officer Letter from the Chairman of the Supervisory Board 3 Dear Readers, On a range of fronts, 2023 was no easy year.",1559,ONT_021,Human_Rights,Environmental,Human_Rights,ONTOLOGY,0.6,3,"rights, environmental, human",1,Non-Financial-Report-2023.pdf
"Many urgent issues continued to dominate the agenda: inflation, supply chain issues, the wars in Ukraine and between Israel and Hamas. These posed significant challenges  for our clients, our employees and for the societies in the countries where we operate. Many of our stakeholders needed our urgent support last year  and our focus was on meeting their needs.",362,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,Non-Financial-Report-2023.pdf
"The geopolitical environment, marked by conflict, reinforces our conviction that comprehensive risk management is a fundamental prerequisite for Deutsche Banks success. Non-financial risks are becoming increasingly important, whether in the area of data and IT security, protection against non-compliant employee behavior, in sustainability or in one of the other areas covered in this report.",393,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,employee,1,Non-Financial-Report-2023.pdf
"Many of these topics are rarely discussed in public or have been somewhat overlooked recently in view of the other major challenges. This applies in particular to the topic of sustainability. It made fewer headlines in 2023, even though, according to NASA research, last year was the warmest since records began, with droughts and floods on a scale rarely seen before.",368,,GHGEmissionsScope1,Environmental,Climate Change,,0.125,1,topics,1,Non-Financial-Report-2023.pdf
This underscores just how critical the fight against climate change and environmental destruction is and how it deserves the full attention not only of society at large but also of our bank. We are convinced that the transformation to a sustainable economy must be accelerated. And we see it as an imperative for a global bank headquartered in Europe to position ourselves as a credible leader. The term sustainability goes far beyond protecting our environment and the climate.,478,ONT_037,Community_and_Society,Environmental,Community_and_Society,ONTOLOGY,0.4,2,"society, environmental",1,Non-Financial-Report-2023.pdf
Another element that plays into our long-term business success is when we also systematically address the threats posed by human rights being violated or by financial crime  and when we act accordingly. The non-financial risks associated with these threats are an integral part of our risk management nowadays. And we work hard to improve and tighten our controls.,364,ONT_021,Human_Rights,Environmental,Human_Rights,ONTOLOGY,0.4,2,"rights, human",1,Non-Financial-Report-2023.pdf
"We want to be a bank that contributes to an environmentally sound, socially inclusive and better managed economy, and we are committed to the Ten Principles of the UN Global Compact. Sustainability has been a priority at Senior Management level since 2019 and we have continued to make progress on all four pillars of our sustainability strategy during this time  also in 2023: We increased the volume of sustainable financing and ESG investments by  64 billion.",462,ONT_050,Sustainable_Finance,Environmental,Sustainable_Finance,ONTOLOGY,0.4,2,"sustainable, environmental",1,Non-Financial-Report-2023.pdf
"Since we started reporting in 2020, we have achieved a total volume of  279 billion, excluding DWS. There were many impactful transactions and programs last year, among them a new risk sharing program in cooperation with the European Investment Bank to support medium-sized companies in their sustainable transformation with an expected volume of  400 million with at least half of the loans being earmarked for financing renewable energy production.",450,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,Non-Financial-Report-2023.pdf
"We continue to work towards our  500 billion target by the end of 2025, despite the recent slow-down in growth in sustainable financing and ESG investment volumes on account of reduced demand by corporates and private clients as they faced uncertain market conditions. We expect this downward trend to be temporary as environmental risks materialize more frequently and the regulatory and reporting environment reinforces the trend towards sustainable financing and ESG investments in the medium term.",501,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"corporate, environmental",1,Non-Financial-Report-2023.pdf
"In our Policies  Commitments pillar, we focused on fulfilling our commitment to achieve the Paris Agreement climate targets. We updated and tightened our Thermal Coal Policy and published our initial Transition Plan in October. The latter outlines our roadmap for achieving net-zero emissions by 2050. The plan details our approach to financed emissions for high-emitting industries in our corporate loan portfolio.",415,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,Non-Financial-Report-2023.pdf
"The Plan also describes our net-zero targets for coal mining, cement and shipping in addition to the targets for four high-emitting sectors which we published in 2022. With these additional targets, more than half of our total financed emissions arising from our corporate loan portfolio are now covered by net-zero pathways, and we have now published financed emissions covering approximately 60 of our total loan exposure.",424,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,Non-Financial-Report-2023.pdf
"In order to hit these targets, our governance extends right down to the transaction level, which is why we established a Net- Zero Forum within our bank in November 2022. In 2023, the Forum discussed more than 40 transactions each with a loan volume of more than  25 million, checking that they comply with our Transition Plan.",327,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,governance,1,Non-Financial-Report-2023.pdf
"This also helped our client advisors deepen the dialogue with our carbon-intensive corporate clients to support them on the challenging but essential transition to a low-carbon business model. Furthermore, we enhanced the strategy, execution and control capacity in the Chief Sustainability Office, created the position of a Head of Human Rights and rolled out a regional governance program to align our set-up as well as the communication to regulators worldwide.",464,ONT_021,Human_Rights,Environmental,Human_Rights,ONTOLOGY,0.4,2,"rights, human",1,Non-Financial-Report-2023.pdf
"Finally, we demonstrated thought leadership with our 2nd Sustainability Deep Dive, our 3rd dbAccess Global ESG Conference and Deutsche Banks event series with six German industry partners at the climate change conference COP 28. 4 Another area in which we, as a bank with a global network, must be at the forefront is the fight against financial crime. Our industry faces increasingly sophisticated threat actors.",413,ONT_045,Financial_Inclusion,Environmental,Financial_Inclusion,ONTOLOGY,0.2,1,financial,1,Non-Financial-Report-2023.pdf
