text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
Unternehmensführung ....................................... 26 2.1 Unternehmenspraktiken und Prinzipien .............. 26 2.2 Verhaltensprinzipien (BASE) .............................. 26 2.3 Transparenz ..................................................... 26 2.4 Bioethik ............................................................ 27 2.5 Steuerungs- und Managementsysteme ............. 28 2.6 Compliance ...................................................... 29 2.7 Informations- und Cybersicherheit ..................... 34 2.8 Notfall- und Krisenmanagement ........................ 35 2.9 Steuern ............................................................ 35 2.10 Risikomanagement ........................................... 36 2.11 Nachhaltigkeitsmanagement ............................. 37 2.12 Stakeholderdialog ............................................. 39 Im Fokus: Landwirtschaft .......................................... 44 Herausforderungen und Lösungsansätze ................... 44 Pflanzenzüchtung ..................................................... 47 Pflanzenbiotechnologie ............................................. 48 Klimafreundlichere Landwirtschaft ............................. 50 Reduzierung von Umweltauswirkungen der Pflanzenschutzmittel (CP EIR) ............................. 52 Sparsamere Wassernutzung ..................................... 54 3.,1386,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,bayer-nachhaltigkeitsbericht-2023.pdf
Produktverantwortung ........................................ 56 3.1 Managementansatz .......................................... 56 3.2 Regulatorische Rahmenbedingungen ................ 56 3.3 Bewertungen und Prüfungen ............................ 57 3.4 Tierschutz ........................................................ 58 3.5 Schutz vor Produktfälschungen ........................ 59 3.6 Crop Science ................................................... 64 3.7 Biodiversität ..................................................... 77 3.8 Pharmaceuticals und Consumer Health ............ 81 Im Fokus: Zugang zu Gesundheitsversorgung .......... 90 Familienplanung ....................................................... 90 Zugang zu Selbstmedikation .................................... 91 Vernachlässigte Tropenkrankheiten ........................... 92 Weiteres Engagement .............................................. 93 Kaufkraftangepasste Preisgestaltung für Medikamente ...................................................... 93 Patientenzugangsprogramme ................................... 93 4.,1101,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-nachhaltigkeitsbericht-2023.pdf
Menschenrechte ............................................... 103 5.1 Managementansatz ........................................ 103 5.2 Umsetzung der menschenrechtlichen Sorgfaltspflicht ............................................... 103 5.3 Achtung der Menschenrechte in der Lieferkette ............................................ 106 5.4 Stakeholder Engagement  Partnerschaften ... 108 6.,393,,GHGEmissionsScope1,Environmental,Climate Change,,0.125,1,stakeholder,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Gesellschaftliches Engagement ...................... 156 10.1 Managementansatz ........................................ 156 10.2 Unser Engagement 2023 ................................ 156 10.3 Bayer Foundation ........................................... 159 Weitere Informationen Vermerk des unabhängigen Wirtschaftsprüfers .... 163 GRI-Inhaltsindex .................................................. 165 Glossar ............................................................... 173 Editorial Bayer-Nachhaltigkeitsbericht 2023 3 Sehr geehrte Damen und Herren, liebe Stakeholder von Bayer, im vergangenen Jahr haben wir einen neuen Weg beschritten mit dem Ziel, die Anstrengungen eines jeden Beschäftigten bei Bayer ausschließlich auf unsere starke Mission auszurichten: Health for all, Hunger for none.",800,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Einige Highlights des vergangenen Jahres möchte ich Ihnen vorstellen:  Im März 2023 haben wir eine umfassende Strategie kommu- niziert, um Einsatz und Qualität des Wassers entlang der landwirtschaftlichen Wertschöpfungskette zu verbessern: Wir bringen ein System für den Reisanbau voran, das es Land- wirten ermöglicht, den Wasserverbrauch um bis zu 40  zu senken. Bei einer so wichtigen Kulturpflanze, die etwa 40  der weltweiten Bewässerung in Anspruch nimmt, hat das eine enorme Bedeutung.",492,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Wir haben uns dazu verpflichtet, unseren Fortschritt zu messen, zu berichten und zu validieren, bis wir 2050 net zero erreicht haben. Wir wollen mit unserer Expertise und unseren Lösungen einen wichtigen Beitrag zu den Sustainable Development Goals (SDGs) leisten  geleitet von den Prinzipien des UN Global Compact und unserer Mission Health for all, Hunger for none. An diesem Anspruch können und sollen Sie uns auch 2024 messen.",430,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Dies ist nur ein Auszug dessen, was das Team Bayer tut, um die Mission Health for all, Hunger for none mit Leben zu füllen. Meine Kolleginnen und Kollegen sind die ersten, die Ihnen bestäti- gen werden, dass das noch nicht ausreicht. Dieser Bericht doku- mentiert unsere Nachhaltigkeitsprioritäten, unseren Fortschritt und die Projekte im Jahr 2023 und darüber hinaus.",368,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-nachhaltigkeitsbericht-2023.pdf
Der vorliegende Nach- haltigkeitsbericht wurde in Übereinstimmung mit den GRI- Standards erstellt. Der vorliegende Nachhaltigkeitsbericht dient auch als Referenz für den Fragebogen zum Fort- schrittsbericht (Communication on Progress) im Sinne des UN Global Compact. Außerdem berücksichtigen wir das Rahmenwerk des Sustainablity Accounting Standards Board (SASB).,363,ONT_020,Board_Diversity,Environmental,Board_Diversity,ONTOLOGY,0.2,1,board,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Ein zusammengefasster Index der drei für uns relevanten SASB-Industriestandards Biotechnology  Pharmaceuticals, Chemicals und Agricultural Products ist in englischer Sprache auf unserer Webseite veröffentlicht. Mit unserer Klimaberichterstattung folgen wir den Empfeh- lungen der Task Force on Climate-Related Financial Disclo- sures (TCFD) und veröffentlichen dazu einen separaten Index (nur Englisch) auch auf unserer Webseite.",429,ONT_025,Green_Products,Environmental,Green_Products,ONTOLOGY,0.2,1,products,1,bayer-nachhaltigkeitsbericht-2023.pdf
Auf unserer Webseite veröffentlichen wir auch eine Übersicht zu den Principal Adverse Indicators nach der Sustainable Finance Disclosure Regulation (SFDR). Zur Definition und Auswahl von nichtfinanziellen Indikatoren sowie zum Reporting orientieren wir uns außerdem u. a. an den internationalen Empfehlungen und Leitsätzen der OECD und der ISO 26000.,350,ONT_050,Sustainable_Finance,Environmental,Sustainable_Finance,ONTOLOGY,0.6,3,"sustainable, finance, indicator",1,bayer-nachhaltigkeitsbericht-2023.pdf
"Bei der Auswahl und Messung der Indika- toren berücksichtigen wir für den Bereich Treibhausgas-Emis- sionen die Empfehlungen des Greenhouse Gas Protocol und für sonstige nichtfinanzielle Indikatoren die der European Federation of Financial Analysts Societies, des World Business Council for Sustainable Development und des Europäischen (CEFIC) sowie des Weltchemieverbands (ICCA).",380,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,development,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Der nächste Nachhaltigkeitsbericht soll im März 2025 erscheinen. Über diesen Bericht Nachhaltigkeitsstrategie 1. Unternehmensführung 3. Produktverantwortung 4. Gesundheit und Sicherheit 10. Gesellschaftliches Engagement Bayer-Nachhaltigkeitsbericht 2023 5 Eine wachsende Weltbevölkerung und die zunehmende Be- lastung der natürlichen Ökosysteme gehören zu den größten Herausforderungen, vor denen die Menschheit steht.",418,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Um die Mission von Bayer Health for all, Hunger for none zu unterstützen, haben wir drei Bereiche definiert, in denen wir große Wirkung (Impact) entfalten und unsere Ambitionen und Unternehmenslösungen vorantreiben werden:  Kampf gegen den Klimawandel  Gleichberechtigter Zugang zu Gesundheitsversorgung und  Ernährungssicherung. Bayer ist einzigartig positioniert, um  gemeinsam mit unseren Partnern  Lösungen für diese Herausforderungen anzubieten.",450,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Der Zugang zu und der Bedarf an Gesundheitsdienstleis- tungen werden durch den Klimawandel herausfordernder, wenn steigende Temperaturen Gesundheitsprobleme verschärfen und zu neuen oder mehr Krankheiten führen. Dadurch entsteht eine große Belastung für die Menschen auf der einen und die Gesundheitssysteme auf der anderen Seite. Das gilt insbesondere für Menschen, die im globalen Süden leben.",395,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Nachhaltigkeit ist Teil der Unternehmensstrategie Ausgehend von unserer Mission Health for all, Hunger for none ist Nachhaltigkeit für uns Kern unserer unternehmeri- schen Verantwortung und sichert auch unser künftiges Wachs- tum. Daher ist Nachhaltigkeit essenzieller Bestandteil unserer Unternehmensstrategie, unserer Geschäftstätigkeit, unserer Unternehmenswerte und der Art und Weise, wie wir unsere Geschäfte führen.",421,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Unternehmensführung 3. Produktverantwortung 4. Gesundheit und Sicherheit 10. Gesellschaftliches Engagement Bayer-Nachhaltigkeitsbericht 2023 6 Unser Beitrag zu den globalen Nachhaltigkeitszielen Wir richten unsere strategischen Nachhaltigkeitsziele an der globalen Nachhaltigkeitsagenda der Vereinten Nationen (UN Sustainable Development Goals, SDGs) aus, die bis ins Jahr 2030 reicht. In vielen Bereichen hinkt die Weltgemein- schaft den Zielen hinterher.",456,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,development,1,bayer-nachhaltigkeitsbericht-2023.pdf
"In unserer Wertschöp- fungskette fördern wir eine emissionsarme und resiliente Landwirtschaft, die dank neuer Methoden zur Bindung von CO2 beiträgt. SDG 15  Leben an Land Mit der Reduktion der Umweltauswirkungen des Pflanzenschutzes (Crop Protection Environmental Impact Reduction, CP EIR) unterstützen wir eine nachhaltige Landwirtschaft, die hilft, die Umwelt in unserer Wertschöp- fungskette zu schützen und die Biodiversität zu erhalten.",441,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.5,2,"environmental, emissions",1,bayer-nachhaltigkeitsbericht-2023.pdf
"Die konzernweiten Ziele für inklusives Wachstum und Klima- schutz sind Teil der langfristigen variablen Vergütung des Vorstands und der leitenden Mitarbeitenden. Mit unseren strategischen Schwerpunkten kommen wir auch den wach- senden Anforderungen des Kapitalmarktes nach, unser Geschäft auch aus ESG-Perspektive (Environmental, Social, Governance) zu transformieren und darüber transparent und anhand von Kennzahlen zu berichten.",431,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, environmental",1,bayer-nachhaltigkeitsbericht-2023.pdf
"Damit wollen wir für unsere Stakeholder verlässlich und verbindlich in unserem Handeln sein. Schwerpunkte: Mehrwert für Menschen und Umwelt Bayer hat 2019 ein ehrgeiziges Programm gestartet, das inklusives Wachstum mit der Reduktion des ökologischen Fußabdrucks verbindet und auf verantwortungsvolles Han- deln entlang der gesamten Wertschöpfungskette abzielt.",360,,GHGEmissionsScope1,Environmental,Climate Change,,0.125,1,stakeholder,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Bayer nimmt damit seine Verantwortung für Umwelt (Environ- mental) und Menschen (Social) wahr und hat sie in die Unter- nehmensführung (Governance) integriert (ESG). Inklusives Wachstum Für Bayer steht inklusives Wachstum dafür, Ziele nicht auf Kosten anderer zu erreichen. Die Produkte und Dienst- leistungen, die wir anbieten, sollen den Menschen weltweit Wachstum und Wohlergehen ermöglichen  gemäß der Mission Health for all, Hunger for none. Nachhaltigkeitsstrategie 1. Unternehmensführung 3.",497,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-nachhaltigkeitsbericht-2023.pdf
"Dies gilt für Kulturen in Anbausystemen mit den höchsten Treibhausgasemissionen und in den Regionen, in denen wir mit unseren Produkten am Markt sind.8 Ernährungs- sicherung Zugang zu Gesundheit Bis 2030 werden wir 100 Millionen Kleinbauern in LMICs1 unterstützen, indem wir den Zugang zu landwirt- schaftlichen Produkten und Dienstleistungen verbessern  auch ge- meinsam mit unseren Partnern.2 Frauen- förderung Umwelt- auswir- kungen reduzieren Klima- schutz Umwelt- schutz ESG 11 1 LMICs: Länder mit geringem oder mittlerem Einkommensniveau 2 Diese Ziele sind Teil der variablen Vergütung des Vorstands und der LTI-berechtigten Führungskräfte.",646,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,bayer-nachhaltigkeitsbericht-2023.pdf
