text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"2023 Sustainability Accounting Standards Board (SASB) Index SASB Industry: BIOTECHNOLOGY  PHARMACEUTICALS Bayer Sustainability Accounting Standards Board (SASB) Index 2023 2 BIOTECHNOLOGY  PHARMACEUTICALS Sustainability Disclosure Topics  Accounting Metrics SASB Topic SASB Accounting Metric SASB Code Bayer Reporting Safety of Clinical Trial Participants Discussion, by world region, of management process for ensuring quality and patient safety during clinical trials HC-BP- 210a.1 Bayer, similar to many major pharmaceutical and biotechnology companies, utilizes clinical research organizations (CROs) to deliver some of our clinical trial portfolio.",653,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,safety,1,bayer-sasb-index-2023.pdf
"This is done through two models. The first model is functional service provision, where CRO staff are engaged by Bayer in order to supplement internal resources. In this case, the CRO personnel works on clinical trials using Bayer processes and Bayer IT systems. The second model is where Bayer outsources the clinical trial in full.",333,ONT_030,Resource_Efficiency,Environmental,Resource_Efficiency,ONTOLOGY,0.2,1,resource,1,bayer-sasb-index-2023.pdf
"For these situations, we have large, global CROs with extensive geographical reach, which gives Bayer the opportunity to manage them centrally by appropriate integration into Clinical and Study Teams at the global level. Both Bayer and our CROs adhere to Good Clinical Practice (GCP) and country-specific legal, data privacy, ethical (Declaration of Helsinki) and regulatory requirements. To manage our CRO partners and our outsourcing model, a global process is in place applying to all regions.",496,ONT_047,Privacy_and_IT,Environmental,Privacy_and_IT,ONTOLOGY,0.25,1,privacy,1,bayer-sasb-index-2023.pdf
"There are three components of the full outsourcing model: 1. Contingent Contracting Model, containing fixed price and bonuspenalty 2. Operating Model, with clear responsibilities and the CRO operating with its own resources, processes and IT systems 3.",252,ONT_030,Resource_Efficiency,Environmental,Resource_Efficiency,ONTOLOGY,0.2,1,resource,1,bayer-sasb-index-2023.pdf
"Risk-based Oversight Model, with Bayer staff focusing on oversight activities that are critical for overseeing patient safety and data integrity To facilitate the full outsourcing model, Bayer works on industry platforms and to recognized regulatory, industry and data standards. With regard to patient safety, assessment and reporting to health authorities, we use Bayer IT systems, people and processes, receiving reports from the investigator.",446,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.4,2,"safety, health",1,bayer-sasb-index-2023.pdf
"With respect to audit and inspection, these are outlined in our quality agreement, which is appended to the Master Service Agreement, or corresponding supplier agreements. Bayer assesses which clinical sites require audit using a risk-based method. Additional CROs providing supplementary services (e.g.",303,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.14285714285714285,1,risk,1,bayer-sasb-index-2023.pdf
"imaging, laboratory analysis) are also utilized and oversight is conducted via a similar mechanism to the full outsourcing model, with Bayer staff focusing on activities that are critical to overseeing patient safety and data integrity. Before any activities can be outsourced to a potential CRO, the CRO is subjected to a qualification process. An integral part of this process is a risk- based assessment whether a GCP qualification audit is required.",453,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,safety,1,bayer-sasb-index-2023.pdf
"For more information:  Bayer 2023 Sustainability Report  Chapter 3.8 Product Stewardship  Pharmaceuticals and Consumer Health  Clinical trials  Clinical Trials website https:pharma.bayer.comclinical-trials  Ethics in Clinical Trials website https:pharma.bayer.comworldwide-standards  Bayer Clinical Trials website https:clinicaltrials.bayer.com  http:www.clinicaltrials.gov SASB Industry: BIOTECHNOLOGY  PHARMACEUTICALS Bayer Sustainability Accounting Standards Board (SASB) Index 2023 3 SASB Topic SASB Accounting Metric SASB Code Bayer Reporting Number of FDA Sponsor Inspections related to clinical trial management and pharmacovigilance that resulted in: (1) Voluntary Action Indicated (VAI) and (2) Official Action Indicated (OAI) HC-BP- 210a.2 During 2023, no US FDA Good Clinical Practice or pharmacovigilance inspections were conducted, either at clinical investigator sites or at company facilities.",908,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-sasb-index-2023.pdf
"Total amount of monetary losses as a result of legal proceedings associated with clinical trials in developing countries HC-BP- 210a.3 Not reported Access to Medicines Description of actions and initiatives to promote access to health care products for priority diseases and in priority countries as defined by the Access to Medicine Index HC-BP- 240a.1 For more information:  Bayer 2023 Sustainability Report  Sustainability Strategy chapter  Bayer 2023 Sustainability Report  Focus on: Access to Health Care chapter  Access to Medicine Foundation 2022 ranking https:accesstomedicinefoundation.orgaccess-to-medicine-indexreport-cardsbayer-ag List of products on the WHO List of Prequalified Medicinal Products as part of its Prequalification of Medicines Programme (PQP) HC-BP- 240a.2  Bayer 2023 Sustainability Report  Focus on: Access to Health Care chapter  Access to Medicine Foundation 2022 ranking https:accesstomedicinefoundation.orgaccess-to-medicine-indexreport-cardsbayer-ag Affordability  Pricing Number of settlements of Abbreviated New Drug Application (ANDA) litigation that involved payments andor provisions to delay bringing an authorized generic product to market for a defined time period HC-BP- 240b.1 Not reported Percentage change in: (1) average list price and (2) average net price across US product portfolio compared to previous year HC-BP- 240b.2 From 2022 to 2023, the Bayer US portfolio WAC for prescription products increased by 5.0.",1464,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-sasb-index-2023.pdf
"Percentage change in: (1) list price and (2) net price of product with largest increase compared to previous year HC-BP- 240b.3 Not reported SASB Industry: BIOTECHNOLOGY  PHARMACEUTICALS Bayer Sustainability Accounting Standards Board (SASB) Index 2023 4 SASB Topic SASB Accounting Metric SASB Code Bayer Reporting Drug Safety List of products listed in the Food and Drug Administrations (FDA) MedWatch Safety Alerts for Human Medical Products database HC-BP- 250a.1 See FDA Adverse Event Reporting Website Number of fatalities associated with products as reported in the FDA Adverse Event Reporting System HC-BP- 250a.2 See FDA Adverse Event Reporting Website Number of recalls issued, total units recalled HC-BP- 250a.3 https:www.fda.govsafetyrecalls-market-withdrawals-safety-alerts?search_api_fulltextBayerfield_regulated_product_fieldAll (1 for 2023, 0 for 2022) https:www.accessdata.fda.govscriptsiresindex.cfmtabNav_advancedSearch Total amount of product accepted for takeback, reuse or disposal HC-BP- 250a.4 The disposal of pharmaceutical products is subject to strict safety criteria.",1094,ONT_029,Product_Safety,Environmental,Product_Safety,ONTOLOGY,0.4,2,"safety, product",1,bayer-sasb-index-2023.pdf
