text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
The Company .................................................... 24 1.1 Corporate Profile .............................................. 24 1.2 Corporate Structure .......................................... 24 1.3 Value Added ..................................................... 25 2.,285,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,corporate,1,bayer-sustainability-report-2023.pdf
Corporate Governance ..................................... 26 2.1 Corporate Governance Practices and Principles ................................................... 26 2.2 Behavioral Principles (BASE) ............................. 26 2.3 Transparency .................................................... 26 2.4 Bioethics .......................................................... 27 2.5 Steering and Management Systems .................. 28 2.6 Compliance ...................................................... 29 2.7 Information Security and Cyber Security ............ 34 2.8 Emergency and Crisis Management .................. 35 2.9 Tax ................................................................... 35 2.10 Risk Management ............................................. 36 2.11 Sustainability Management ............................... 37 2.12 Stakeholder Dialogue ........................................ 39 Focus on: Agriculture ............................................... 44 Challenges and Approaches ..................................... 44 Plant Breeding .......................................................... 47 Plant Biotechnology .................................................. 48 Enabling a Climate-Smart Agriculture ........................ 50 Crop Protection Environmental Impact Reduction (CP EIR) ................................................................... 52 Conserving Water ..................................................... 54 3.,1475,ONT_011,Water,Environmental,Water,ONTOLOGY,0.6666666666666666,2,"environmental, water",1,bayer-sustainability-report-2023.pdf
Product Stewardship ......................................... 56 3.1 Management Approach .................................... 56 3.2 Regulatory Conditions ...................................... 56 3.3 Assessments and Testing ................................. 57 3.4 Animal Welfare ................................................. 58 3.5 Protection against Product Counterfeiting ......... 59 3.6 Crop Science ................................................... 64 3.7 Biodiversity ...................................................... 77 3.8 Pharmaceuticals and Consumer Health ............ 81 Focus on: Access to Healthcare ............................... 90 Family Planning ........................................................ 90 Access to Self-Care ................................................. 91 Neglected Tropical Diseases ..................................... 92 Further Engagement ................................................ 93 Equitable Drug Pricing ............................................. 93 Patient Access Programs ......................................... 93 4.,1094,ONT_016,Biodiversity,Environmental,Biodiversity,ONTOLOGY,0.3333333333333333,1,biodiversity,1,bayer-sustainability-report-2023.pdf
Procurement ...................................................... 95 4.1 Management Approach .................................... 95 4.2 Procurement Activities ...................................... 95 4.3 Sustainability in the Supply Chain ..................... 97 5.,269,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,bayer-sustainability-report-2023.pdf
Human Rights .................................................. 103 5.1 Management Approach .................................. 103 5.2 Implementing Human Rights Due Diligence ..... 103 5.3 Respect for Human Rights in the Supply Chain ................................................. 106 5.4 Stakeholder Engagement and Partnerships ..... 108 6.,344,ONT_021,Human_Rights,Environmental,Human_Rights,ONTOLOGY,0.4,2,"rights, human",1,bayer-sustainability-report-2023.pdf
"Employees ....................................................... 109 6.1 Management Approach .................................. 109 6.2 Employee Data .............................................. 110 6.3 Employment in Detail ..................................... 111 6.4 Diversity, Equity and Inclusion (DEI) ............... 113 6.5 Fair Compensation ......................................... 116 6.6 Learning and Training ..................................... 117 6.7 Employee Development and Integration .......... 118 6.8 Health Provision ............................................. 120 6.9 Employee Rights ............................................ 120 6.10 Work-Life Integration ...................................... 121 7.",735,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.4,2,"employee, development",1,bayer-sustainability-report-2023.pdf
Climate Protection ........................................... 123 7.1 Management Approach .................................. 123 7.2 Decarbonization ............................................. 123 7.3 Risk and Opportunity Analysis ........................ 128 7.4 Greenhouse Gas Emissions ............................ 132 7.5 Energy ........................................................... 135 8.,402,ONT_003,Energy,Environmental,Energy,ONTOLOGY,0.3333333333333333,1,energy,1,bayer-sustainability-report-2023.pdf
Environmental Protection ................................ 136 8.1 Management Approach .................................. 136 8.2 Air Emissions ................................................. 138 8.3 Water ............................................................. 138 8.4 Waste and Recycling ...................................... 142 8.5 Environmental Incidents .................................. 144 9.,409,ONT_005,Waste,Environmental,Waste,ONTOLOGY,0.6666666666666666,2,"environmental, waste",1,bayer-sustainability-report-2023.pdf
Health and Safety ............................................ 145 9.1 Management Approach .................................. 145 9.2 Occupational Safety ....................................... 147 9.3 Occupational Health ....................................... 151 9.4 Process and Plant Safety ................................ 152 9.5 Incidents and Performance ............................. 154 10.,399,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.4,2,"safety, health",1,bayer-sustainability-report-2023.pdf
"Social Engagement .......................................... 156 10.1 Management Approach .................................. 156 10.2 Our Engagement in 2023 ................................ 156 10.3 Bayer Foundation ........................................... 159 Further Information Independent Auditors Report ............................. 163 GRI Content Index............................................... 165 Glossary ............................................................. 173 Editorial Bayer Sustainability Report 2023 3 Dear Bayer stakeholders, Last year, our company set off on a journey to focus the efforts of every Bayer employee solely on our bold mission: Health for all, Hunger for none.",709,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,bayer-sustainability-report-2023.pdf
