text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"2023 Task Force on Climate-Related Financial Disclosures (TCFD) Report Bayer TCFD Report 2023 1. Governance 2 Bayer supports the recommendations of the Task Force on Climate-Related Financial Disclosures (TCFD) with respect to reporting on this topic. In our report, we implement the 11 recommendations of the TCFD in the four categories of Governance, Strategy, Risk Management and Metrics  Targets.",400,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.2857142857142857,2,"climate, risk",1,bayer-tcfd-report-2023.pdf
"Managements role The Chairman of the Board of Management (CEO) holds direct responsibility for climate protection in his role as Chief Sustainability Officer. In keeping with their level of importance, climate-change-related topics and Bayers climate strategy were discussed at a total of two meetings with the Board of Management, one meeting of the Supervisory Board and both meetings of the ESG Committee of the Supervisory Board in 2023.",441,ONT_020,Board_Diversity,Environmental,Board_Diversity,ONTOLOGY,0.2,1,board,1,bayer-tcfd-report-2023.pdf
"In 2023, the Chairman of the Board of Management (CEO) also participated in the UN Climate Change Conference COP28 in Dubai for the first time. The attainment of our Group targets for reducing greenhouse gases by 2029 is factored into the long-term compensation of the Board of Management and Bayers LTI-entitled managerial employees. The compensa- tion-relevant target is based on Bayers necessary contribution to an SBTi-validated 1.5 C scenario.",448,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,employee,1,bayer-tcfd-report-2023.pdf
"Climate protection is also an integral element of annual variable compensation. The Chairman of the Board of Management (CEO) is supported in this by the Public Affairs, Science, Sustain- ability  HSE Enabling Function and the sustainability departments within the divisions. The divisions handle the operational implementation of the climate protection measures at their sites with the support of the enabling functions.",421,ONT_020,Board_Diversity,Environmental,Board_Diversity,ONTOLOGY,0.2,1,board,1,bayer-tcfd-report-2023.pdf
"We have formed Group-wide working groups for the strategic and operational implementation of climate-change-related measures and a special working group to analyze various climate scenarios and their impacts on our business. In addition, the Sustainability Council that was established in 2020 advises the Board of Management in all matters relating to sustainability  including climate protection.",398,ONT_020,Board_Diversity,Environmental,Board_Diversity,ONTOLOGY,0.2,1,board,1,bayer-tcfd-report-2023.pdf
"In 2023, climate change and the related impacts on and opportunities for Bayer were discussed at four meetings of the Sustainability Council. The Board of Management of Bayer AG holds overall responsibility for an effective risk management system. It examines the appropriateness and effectiveness of the risk management system at least once a year, as does the Supervisory Boards Audit Committee. In addition, a corresponding report is provided to the full Supervisory Board.",476,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.2857142857142857,2,"climate, risk",1,bayer-tcfd-report-2023.pdf
"The Bayer Assurance Committee is chaired by the Chief Financial Officer, with a second Board of Management member participating on a rotating basis. Besides ensuring that appropriate action is taken to control any substantial risks, the Bayer Assurance Committee regularly discusses and reviews the risk portfolio and the status of the risk control measures.",358,ONT_020,Board_Diversity,Environmental,Board_Diversity,ONTOLOGY,0.2,1,board,1,bayer-tcfd-report-2023.pdf
Boards oversight Bayer AG is subject to German stock corporation law and therefore has a dual governance system consist- ing of the Board of Management and the Supervisory Board. The Board of Management manages the com- pany based on a strategy that is geared toward its long-term success. The Supervisory Board oversees and monitors the Board of Management.,358,ONT_020,Board_Diversity,Environmental,Board_Diversity,ONTOLOGY,0.2,1,board,1,bayer-tcfd-report-2023.pdf
"Since 2022, the Supervisory Board has had its own ESG Committee, comprising the Chairman of the Supervisory Board and seven further members of the Supervisory Board. This focuses on Bayers sustainable governance and business activities in the areas of environmental protection, social affairs and corporate governance (ESG) within the scope of responsibility of the Supervisory Board. Governance Bayer TCFD Report 2023 2.",421,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.6,3,"governance, corporate, environmental",1,bayer-tcfd-report-2023.pdf
"Strategy 3 The Board of Management of Bayer AG holds overall responsibility for an effective risk management system. It examines the appropriateness and effectiveness of the risk management system at least once a year, as does the Supervisory Boards Audit Committee. In addition, a corresponding report is provided to the full Supervisory Board.",345,ONT_020,Board_Diversity,Environmental,Board_Diversity,ONTOLOGY,0.2,1,board,1,bayer-tcfd-report-2023.pdf
"In our Annual Report, we report in detail on the main elements of the Bayer Groups corporate governance structures and conformity with the recommendations of the German Corporate Governance Code, relevant corporate governance practices, the composition and procedures of the Board of Management, the Super- visory Board and their committees, and also on compensation in the Compensation Report along with the objectives to be defined and the underlying concepts.",462,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,bayer-tcfd-report-2023.pdf
For more information:  Bayer 2023 Sustainability Report  Chapter 2.1 Corporate Governance Practices and Principles  Bayer 2023 Sustainability Report  Chapter 7. Climate Protection  Bayer 2023 Sustainability Report  Chapter 7.3 Climate Protection  Risk and Opportunity Analysis  Bayer 2023 Annual Report  Chapter 3.2 Opportunity and Risk Report 2.1 Identification and impacts Climate change affects us all and is one of the greatest challenges that humankind will face in the future.,482,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,bayer-tcfd-report-2023.pdf
Bayer considers climate protection and the related reduction of greenhouse gas emissions to be a top priority. We support the Paris Agreement and the objective of limiting global warming to 1.5 C relative to the pre- industrial level. The Science Based Targets initiative (SBTi) has validated our target and confirms our contribution to fulfilling the Paris Agreement.,368,ONT_015,GHG_Emissions,Environmental,GHG_Emissions,ONTOLOGY,0.25,1,emissions,1,bayer-tcfd-report-2023.pdf
"We anticipate that our business areas of healthcare and agriculture will on the one hand be impacted by climate change, but on the other will also be part of the solution. In 2023, we looked at the risks and opportunities stemming from the effects of climate change from various perspectives to evaluate them even better in relation to our company and integrate them into our strategy and measures.",398,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.2857142857142857,2,"climate, risk",1,bayer-tcfd-report-2023.pdf
Climate-related risks are already accounted for in our Group-wide enterprise risk management (ERM) system. 2.2 Climate scenarios We analyze the possible effects of climate change across two different scenarios. We use these scenarios to understand the impact of climate change on our business and to identify measures for mitigating risks and leveraging opportunities.,368,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.2857142857142857,2,"climate, risk",1,bayer-tcfd-report-2023.pdf
"With a cross-functional, cross-divisional team, we have identified relevant opportu- nities and risks for our business in both scenarios. We have based our scenario descriptions on Assessment Report 6 of the Intergovernmental Panel on Climate Change (IPCC) and supplementing this with further sources relevant to our business areas.",332,ONT_034,Climate_Risk_Mgmt.,Environmental,Climate_Risk_Mgmt.,ONTOLOGY,0.2857142857142857,2,"climate, risk",1,bayer-tcfd-report-2023.pdf
