text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"Creating Shared Value and Sustainability Report 2023 Advancing regenerative food systems at scale Contents 2 Chairman and CEO message 3 Our business model and progress against commitments 4 Governance 5 Our material topics 6 Stakeholder engagement 7 On the road to net zero 15 Restoring nature, protecting biodiversity 18 Looking at the whole landscape 22 More regenerative practices on farms 26 Water stewardship 31 Responsible sourcing 35 Advancing human rights 41 Packaging and circularity 46 Supporting balanced and sustainable diets 51 Food safety and quality 53 Our diverse and inclusive culture 57 Opportunities for young people 60 An employer of choice 65 The foundations of ethical business 70 Community giving 71 About this report 72 Statutory Non-Financial Matter Report Index (article 964b CO) 76 Child labor reporting Index 77 TCFD Index 79 Nestlés 2023 Creating Shared Value and Sustainability key performance indicators Investing in resilience for sustainable growth A message from our Chairman and CEO.",1018,ONT_011,Water,Environmental,Water,ONTOLOGY,0.6666666666666666,2,"indicator, water",1,creating-shared-value-sustainability-report-2023-en.pdf
"In a year of continued turbulence, our focus on addressing societal challenges and generating value for all our stakeholders only increased. Consumers and customers, as well as those throughout our supply chain, depend on us and our products. To ensure that we can continue to deliver in the long term, we are helping make the production of food more regenerative and are supporting farmers and their communities.",413,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,creating-shared-value-sustainability-report-2023-en.pdf
"Regenerative agriculture is at the heart of our Net Zero Roadmap and we remain focused on progressing toward our 2025 and 2030 greenhouse gas emissions targets. We are encouraged by the collaborative work with farmers and suppliers to reduce our supply chain emissions, particularly from dairy. Helping growers and their families as they transition to regenerative agricultural practices is vital in this task.",410,ONT_046,Labor_Practices,Environmental,Labor_Practices,ONTOLOGY,0.4,2,"practices, labor",1,creating-shared-value-sustainability-report-2023-en.pdf
"Our work in coffee through the Nescafé Plan 2030 and the Nespresso AAA Sustainable Quality Program continues to meet the Paul Bulcke Chairman U. Mark Schneider Chief Executive Officer Nestlé CEO Mark Schneider (left) and Chairman Paul Bulcke (right) in Vevey, Switzerland.",272,ONT_050,Sustainable_Finance,Environmental,Sustainable_Finance,ONTOLOGY,0.2,1,sustainable,1,creating-shared-value-sustainability-report-2023-en.pdf
"Expert voices, case studies and data support detail on our approach and performance, covering the topics most material to our business and stakeholders. Read more about independent assurance of this report on page 71. demands of consumers for more sustainable products. These initiatives are also benefiting communities, through increased productivity, as well as helping to improve livelihoods for growers.",407,,GHGEmissionsScope1,Environmental,Climate Change,,0.25,2,"topics, stakeholder",1,creating-shared-value-sustainability-report-2023-en.pdf
"In cocoa, the income accelerator program will now be expanded from Côte dIvoire to Ghana, allowing us to help close the living income gap for a total of 30 000 cocoa-farming families. We aim to reach an estimated 160 000 cocoa- farming families in our global cocoa supply chain by 2030 to create impact at scale. 2023 has been a significant year for nutrition at Nestlé.",370,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,creating-shared-value-sustainability-report-2023-en.pdf
"We announced our intention to boost the sales of our more nutritious products by CHF 20 to 25 billion by 2030, and have stepped up our work to help guide people towards a balanced diet. This includes strengthening our responsible marketing practices, making the nutritional value of our portfolio more transparent and providing more information about balanced diets via digital tools. People are at the heart of our business.",425,ONT_025,Green_Products,Environmental,Green_Products,ONTOLOGY,0.2,1,products,1,creating-shared-value-sustainability-report-2023-en.pdf
"Our employees health and well-being remain fundamental to our success, and by the end of 2023, we had embedded the Nestlé Roadmap for Employee Health across all of our markets. We also launched our Salient Issue Action Plans, which will support human rights, both within Nestlé and across our value chain for the years to come. As a global food and beverage company, we are committed to safety and quality.",406,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.4,2,"safety, health",1,creating-shared-value-sustainability-report-2023-en.pdf
"Last year, we further enhanced the safety controls in our factories, and are deploying new digital technologies that help us to anticipate and prevent issues before they arise. We do business in a way that creates value for all of our stakeholders. Our goal is to remain the Good food, Good life company that people can depend on.",330,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,safety,1,creating-shared-value-sustainability-report-2023-en.pdf
"Creating Shared Value and Sustainability Report 2023 2 Table of contents Leadership message Our business model and progress against commitments COMMITMENT KEY PERFORMANCE INDICATOR 2021 2022 2023 We aim to reduce our greenhouse gas (GHG) emissions by 20 by 2025 and 50 by 2030 from 2018 levels, on the road to net zero by 2050 at the latest Net reduction of GHG emissions vs. 2018 baseline1 ()   13.58 We aim to achieve and maintain 100 assessed deforestation-free primary supply chains (for meat, palm oil, pulp and paper, soy and sugar) by 2022 and 2025 for cocoa and coffee Primary supply chains for meat, palm oil, pulp and paper, soy and sugar assessed as deforestation-free () 97.2 99.1 97.9 Primary supply chains for cocoa and coffee  meat, palm oil, pulp and paper, soy and sugar assessed as deforestation-free ()   93.42 By 2025, we aim for 20 of our key ingredients to be sourced from farmers adopting regenerative agricultural practices, and 50 by 2030 Key ingredients sourced from farmers adopting regenerative agricultural practices3 () na 6.8 15.2 We aim to reduce water use in our factories by 6 million m3 between 2021 and 2023 Water use reduction in factories (million m3) 2.30 2.38 3.00 By 2030, we aim for 100 of key ingredient4 volumes to be Responsibly Sourced5 Key ingredients Responsibly Sourced () 16.3 226 36.2 Number of servings of affordable nutrition with micronutrient fortification (MNF) (billions) 128.47 129.2 127.6 By 2025, we aim to design above 95 of our plastic packaging for recycling and continue to work toward 100 being recyclable or reusable Plastic packaging designed for recycling () 74.9 81.9 83.5 By 2025, we aim to reduce virgin plastics by one third, versus our 2018 baseline Virgin plastic reduction versus 2018 baseline () 8.1 10.5 14.9 By 2030, our ambition is to help 10 million young people around the world have access to economic opportunities Millions of young people around the world with access to economic opportunities since 2017 3.8 5.6 7.78 Management positions held by women ()   46.49 2023 data for Key Performance Indicators (KPIs) on this page are EY assured.",2124,ONT_011,Water,Environmental,Water,ONTOLOGY,0.6666666666666666,2,"indicator, water",1,creating-shared-value-sustainability-report-2023-en.pdf
