text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
Deutsche Telekom DAS GESCHÄFTSJAHR 2023 Inhalt Die Deutsche Telekom auf einen Blick An unsere Aktionäre 5 Brief des Vorstandsvorsitzenden 7 Bericht des Aufsichtsrats an die Hauptversammlung 2024 16 Mandate des Vorstands der Deutschen Telekom AG 2023 18 Mandate des Aufsichtsrats der Deutschen Telekom AG 2023 21 Die T-Aktie 24 Entwicklung ausgewählter Finanzdaten 26 Highlights Zusammengefasster Lagebericht 33 Vorbemerkungen 33 Konzernstruktur 36 Konzernstrategie 44 Konzernsteuerung 49 Wirtschaftliches Umfeld 54 Geschäftsentwicklung des Konzerns 70 Geschäftsentwicklung der operativen Segmente 83 Geschäftsentwicklung der Deutschen Telekom AG 86 Zusammengefasste nichtfinanzielle Erklärung 115 Mitarbeitende 128 Technologie und Innovation 133 Prognose 143 Risiko- und Chancen-Management 164 Governance und sonstige Angaben Konzernabschluss 171 Konzernbilanz 172 Konzern-Gewinn- und Verlustrechnung 173 Konzern-Gesamtergebnisrechnung 174 Konzern-Eigenkapitalveränderungsrechnung 176 Konzern-Kapitalflussrechnung Konzernanhang 178 Grundlagen und Methoden 206 Erläuterungen zur Konzernbilanz 238 Erläuterungen zur Konzern-Gewinn- und Verlustrechnung 251 Sonstige Angaben Versicherung der gesetzlichen Vertreter Vermerke des unabhängigen Abschlussprüfers 299 Vermerk über die Prüfung des Konzernabschlusses und des zusammengefassten Lageberichts 306 Vermerk des unabhängigen Wirtschaftsprüfers über eine betriebswirtschaftliche Prüfung zur Erlangung begrenzter Sicherheit der nichtfinanziellen Berichterstattung Weitere Informationen 309 Überleitungsrechnung zur organischen Entwicklung im Geschäftsjahr 2023 310 Glossar 314 Haftungsausschluss 315 Finanzkalender 315 Impressum Deutsche Telekom.,1693,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.2,1,governance,1,entire-dtag-gb23.pdf
"Stück 0,1 4.976 4.972 4.813 4.743 4.743 ESG KPI Energieverbrauchj GWh (7,6) 12.241 13.253 13.323 12.843 9.324 CO2-Ausstoß (Scope 1  2)k kt CO2e (6,9) 217 233 247 2.512 1.797 a Die Geschäftseinheit GD Towers, die das Funkturmgeschäft in Deutschland und Österreich im operativen Segment Group Development betrieben hat, wurde ab dem dritten Quartal 2022 bis zu ihrer Veräußerung am 1. Februar 2023 im Konzernabschluss als aufgegebener Geschäftsbereich ausgewiesen.",462,ONT_018,Employee_Development,Environmental,Employee_Development,ONTOLOGY,0.2,1,development,1,entire-dtag-gb23.pdf
"Weitere Informationen finden Sie in Angabe 35 Dividende je Aktie im Konzernanhang. j Energieverbrauch im Wesentlichen: Strom, Kraftstoff, weitere fossile Brennstoffe, Fernwärme für Gebäude. k Berechnet nach der marktbasierten Methode des Greenhouse Gas Protocols. An unsere Aktionäre Zusammengefasster Lagebericht Konzernabschluss Konzernanhang Weitere Informationen q )   Deutsche Telekom. Das Geschäftsjahr 2023.",414,ONT_024,Green_Buildings,Environmental,Green_Buildings,ONTOLOGY,0.2,1,green,1,entire-dtag-gb23.pdf
"Die Telekom kann ihren Beitrag leisten, aber Deutschland nicht allein digitalisieren. Unterdessen hat es unser T unter die Top 10 der weltweit wertvollsten Marken geschafft. Wir liegen auf dem neunten Rang und sind die wertvollste Marke Europas. US-Dollar ist das T nach dem aktuellen Brand Finance Bericht wert.",312,ONT_050,Sustainable_Finance,Environmental,Sustainable_Finance,ONTOLOGY,0.2,1,finance,1,entire-dtag-gb23.pdf
"Der Vorstand ist seinen Informationspflichten zeitnah und vollständig nachgekommen. Die Berichte des Vorstands wurden sowohl hinsichtlich ihrer Gegenstände als auch hinsichtlich ihres Umfangs den vom Gesetz, von guter Corporate Governance und von uns gestellten Anforderungen gerecht. Zusätzlich zu den Berichten ließen wir uns vom Vorstand ergänzende Informa- tionen und Auskünfte geben.",388,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,entire-dtag-gb23.pdf
Oktober 2023 haben wir der Niederlegung des Vorstandsmandats von Herrn Adel Al-Saleh zum Ablauf des 31. Dezembers 2023 zugestimmt und einen Aufhebungsvertrag mit Wirkung zum selben Datum beschlossen. Außerdem bestellten wir Herrn Dr. Ferri Abolhassan für die Zeit vom 1. Januar 2024 bis zum Ablauf des 31. Dezember 2026 zum Vorstand für das Ressort TSystems. In der Sitzung am 2.,379,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,entire-dtag-gb23.pdf
"Außerdem haben wir der Gründung eines Tech Funds sowie dem Verkauf der Software Daten Service GmbH, einer Tochtergesellschaft der TSystems International GmbH, zugestimmt und die Aufsichtsratsbesetzung der Deut- sche Telekom IT GmbH beschlossen. Weiterhin haben wir Beschlüsse zum Deutschen Corporate Governance Kodex gefasst (u. a. zur Entsprechenserklärung und zur Qualifikationsmatrix betreffend den Stand der Umsetzung des Aufsichtsratskompe- tenzprofils).",459,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,entire-dtag-gb23.pdf
"Wir haben uns zudem regelmäßig vom Vorstand über das von diesem eingerichtete interne Kontrollsystem und das Risiko- und Chancen-Management-System berichten lassen. Wir sind aufgrund dieser regelmä- ßigen Befassung und der Prüfungsberichte des Abschlussprüfers zu der Einschätzung gelangt, dass keine Gründe vorliegen, die gegen die Angemessenheit und Wirksamkeit dieser Systeme in ihrer Gesamtheit sprechen.",408,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,entire-dtag-gb23.pdf
"Der Ausschuss behandelte die Themen, für welche das deutsche und europäische Recht, der Deutsche Corporate Governance Kodex sowie die Geschäftsordnung des Aufsichtsrats Zuständigkeiten für den Prüfungsausschuss vorsehen.",220,ONT_038,Corporate_Governance,Environmental,Corporate_Governance,ONTOLOGY,0.4,2,"governance, corporate",1,entire-dtag-gb23.pdf
"Zu diesen Themen gehören insbesondere die Überwachung der Rechnungslegung und des Rechnungslegungsprozesses, der Wirksamkeit des internen Kontrollsystems (IKS), des Risiko- und Chancen-Management-Systems, des internen Revisionssystems, der Compli- ance, einschließlich des Compliance-Management-Systems, und des Datenschutzes sowie der Datensicherheit.",352,ONT_043,Environmental_Mgmt._System,Environmental,Environmental_Mgmt._System,ONTOLOGY,0.14285714285714285,1,system,1,entire-dtag-gb23.pdf
