text,text_length,indicator_id,indicator_name,category,subcategory,framework,match_score,keyword_matches,matched_keywords,label,report_name
"Sustainability report 2023 Key figures 320,000 Employees 8.5 billion Net income 1 Publicly listed subsidiary of Siemens; Siemens share in Siemens Healthineers: 75. We are connected to Siemens Healthineers (SHS) under the Siemens brand through shared values. All indicators in the report include Siemens Healthineers (SHS), unless otherwise noted. For the sake of readability, the masculine form is used; it is representative of people of any gender.",449,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.4,2,"indicator, health",1,sustainability-report-fy2023-peru.pdf
"Siemens Healthineers 1 Healthcare SCOPE OF SUSTAINABILITY REPORT Siemens Industry, Infrastructure, and Mobility Our Purpose We create technology to transform the everyday, for everyone 15.4 Adjusted EBITA margin for the Industrial Businesses 78 billion Revenue SIEMENS SUSTAINABILITY REPORT 2023 2 Contents Contents  3 Foreword  4 1 Siemens at a glance  7 1.1 Our DEGREE sustainability framework sets measurable ambitions 8 1.2 Company profile 10 1.3 Strategy 17 2 Our sustainability management  20 2.1 Materiality assessment 21 2.2 Sustainability governance and organization 23 2.3 Partnerships and collaborations for sustainability 26 2.4 Sustainability ratings reflect our performance 29 3 Governance 31 3.1 Compliance and Ethics 32 3.2 Human rights 40 3.3 Sustainable supply chain practices 44 3.4 Cybersecurity and data privacy 49 4 Environment  54 Holistic environmental protection 55 4.1 Climate action 58 4.2 Conserving resources 65 4.3 Product stewardship 71 4.4 EU taxonomy 76 5 Social 81 5.1 Working at Siemens 82 5.2 Diversity, Equity  Inclusion 89 5.3 Professional education and lifelong learning 93 5.4 Occupational health and safety management 97 5.5 Corporate citizenship 102 6 Our sustainability indicators 106 7 Annex  124 7.1 Reporting methodology 125 7.2 Reporting principles for Customer Avoided Emissions 128 7.3 Our contribution to sustainable development of societies 132 7.4 Task Force on Climate-Related Financial Disclosure (TCFD) 136 7.5 GRI Standards  key topics and boundaries 144 7.6 WEF IBC Metric 146 7.7 SASB  Electrical Electronic Equipment Index 150 7.8 United Nations CEO Water Mandate 152 7.9 Independent auditors report on a limited assurance engagement  154 7.10 Notes and forward-looking statements 156 7.11 Further information and information resources 157 SIEMENS SUSTAINABILITY REPORT 2023 3 Contents Foreword Scaling sustainability impact In a tumultuous year of record-shattering heatwaves, wild- fires and floods, and despite rising energy prices, inflation, supply chain challenges, labor shortages, plus the impact of growing geopolitical tensions, we remain optimistic about technology as the answer to some of the worlds biggest challenges.",2191,ONT_003,Energy,Environmental,Energy,ONTOLOGY,1.0,3,"indicator, environmental, energy",1,sustainability-report-fy2023-peru.pdf
"Our technology empowers our customers and partners to scale their sustainability impact faster across the backbone of our economies. As we approach a critical tipping point for our planet, the demand to accelerate the digital and sustainability transformations has never been greater. As a leading technology company, Siemens supports cus- tomers all over the world to become more competitive, resilient, and, above all, more sustainable.",438,ONT_039,Customer_Relationship,Environmental,Customer_Relationship,ONTOLOGY,0.2,1,customer,1,sustainability-report-fy2023-peru.pdf
"Our portfolio enables a positive impact on our planet and society at scale. Today, it is about more than just managing negative foot- prints; it is about a companys handprint and increasingly expanding businesses net-positive impact on the world. That is why Siemens has integrated its sustainability strategy in our business activities, technology roadmap, investment decisions, own operations, and governance.",411,ONT_037,Community_and_Society,Environmental,Community_and_Society,ONTOLOGY,0.2,1,society,1,sustainability-report-fy2023-peru.pdf
"We empower our customers to accelerate their sustainability goals along three impact areas: decarbonization  energy efficiency, resource efficiency  circularity, people centricity  societal impact. Our purpose  which has guided us for 176 years  is to create technology to transform the everyday, for everyone. This technology with purpose touches the lives of customers, partners, and consumers everywhere  improving the quality of life for billions of people worldwide.",471,ONT_030,Resource_Efficiency,Environmental,Resource_Efficiency,ONTOLOGY,0.4,2,"efficiency, resource",1,sustainability-report-fy2023-peru.pdf
"Technology with purpose is about leveraging digitalization for optimized resource usage and circularity readiness and accelerating the energy transition through renewable integration, energy efficiency, and electrification. It is about societal impact by designing and operating the most efficient train and e-mobility solutions within sustainable communities, built upon decarbonized building technologies.",407,ONT_030,Resource_Efficiency,Environmental,Resource_Efficiency,ONTOLOGY,0.4,2,"efficiency, resource",1,sustainability-report-fy2023-peru.pdf
"And it is about pioneering breakthroughs in healthcare to improve the lives of patients and their families. Combining the real and digital worlds Our strategy is to combine the real and digital worlds  harnessing the power of hardware and software, or OT and IT. More than 90 of Siemens AGs business enables positive sustainability outcomes for our customers.",359,ONT_017,Health_and_Safety,Environmental,Health_and_Safety,ONTOLOGY,0.2,1,health,1,sustainability-report-fy2023-peru.pdf
"Worth highlight- ing is that our products sold to customers in fiscal 2023 will, over the course of their lifetime, avoid around 190 million metric tons of CO2 equivalent emissions  a significant increase in avoided emissions over the prior year. This represents more than the equivalent emissions of the Netherlands. In contrast, our own operations and supply chain accounted for around 12 million tons of greenhouse gas emissions.",432,ONT_025,Green_Products,Environmental,Green_Products,ONTOLOGY,0.4,2,"products, green",1,sustainability-report-fy2023-peru.pdf
"SIEMENS SUSTAINABILITY REPORT 2023 4 Foreword To help our customers and partners accelerate their transfor- mation, we recently introduced Siemens Xcelerator, an open digital business platform that makes digital transformation easier, faster, and more scalable for companies of all sizes. A key element of this platform is a growing ecosystem of partners. The sustainability impact we create is more powerful when all partners pool their strengths and work together toward a common goal.",487,ONT_039,Customer_Relationship,Environmental,Customer_Relationship,ONTOLOGY,0.2,1,customer,1,sustainability-report-fy2023-peru.pdf
"We are able to empower our customers to scale sustainability impact because we address challenges across the entire value chain  with deep domain know-how across many industries and across ecosystems of suppliers, partners, and customers. An excellent example of the power of ecosystems is how software can track and manage carbon footprints throughout lifecycles and along supply chains.",388,ONT_049,Supply_Chain,Environmental,Supply_Chain,ONTOLOGY,0.4,2,"supply, chain",1,sustainability-report-fy2023-peru.pdf
